STATE,SC,CD,BLACK,BLUCLLR,CITY,COAST,CONSTRCT,DC,EMPLYD,ENROLL,FARMER,FORBORN,GVTWRKR,INTRLAND,LANDSQMI,MANUF,POPSQMI,POPULATN,PORT,RURLFARM,TRANSPRT,UNEMPLYD,UNION,URBAN,VABEDS,VETERANS,WHLRETL
CT,1,0,32992,341603,0,0,33285,0,680490,308389,24125,372,21548,0,4899,295707,348.8961012,1709242,,95625,32980,89513,12,1158162,0,47842,85623
CT,1,1,9129,85977,1,1,7452,0,183760,82094,5863,98,6214,0,741,77363,607.5425101,450189,,19542,6711,20771,12,322598,387,,26119
CT,1,2,2617,51124,0,1,5808,0,99593,47144,8426,61,4715,0,1978,40119,136.1536906,269312,,39282,4612,15255,12,124360,0,,10156
CT,1,3,7286.88,67721.2,0,1,5704.52,0,131401.16,60438.4,2445.96,64.6,3823.64,0,404,59770.64,815.1853465,329334.88,,8253.84,8729.16,18935.28,12,262305.92,0,,17606.56
CT,1,4,9881,86462,0,0,9523,0,169039,74852,2884,108,4287,0,633,74369,660.9541864,418384,,11647,7667,22066,12,290798,0,,20678
CT,1,5,4078.12,50318.8,0,0,4797.48,0,96696.84,43860.6,4506.04,40.4,2508.36,0,1144,44085.36,211.5577972,242022.12,,16900.16,5260.84,12485.72,12,158100.08,0,,11063.44
CT,1,99,32992,341603,0,1,33285,0,680490,308389,24125,372,21548,0,4899,295707,348.8961012,1709242,,95625,32980,89513,12,1158162,0,,85623
ME,2,0,1304,126532,0,0,,0,279036,172010,35818,95,,28325,31040,,27.29465206,847226,,165450,,51385,7.6,343057,0,23224,35399
ME,2,1,786,50648,0,1,4470,0,104709,55617,7145,36,5224,28325,4223,38754,68.75088799,290335,6847619,34520,6757,14811,7.6,154617,0,,15023
ME,2,2,198,46599,0,1,4062,0,96208,52995,12698,25,3432,28325,8561,36473,32.32040649,276695,,59953,4688,15918,7.6,123853,924,,10429
ME,2,3,320,29285,0,1,3518,0,78119,63398,15975,34,2675,28325,18256,16415,15.34815951,280196,,70977,5745,20656,7.6,64587,0,,9947
MA,3,0,55391,703598,0,0,,0,1534787,782226,32290,2115,,13,7907,,545.9366384,4316721,,94033,,309473,16.2,3859476,0,147286,262467
MA,3,1,2061.14,48826.72,0,0,3935.37,0,98918.7,48426.17,5319.55,45.55,2886.12,13,2614,42442.36,103.0388562,269343.57,,18307.56,5453.46,16856.08,16.2,213859.34,0,,13142.58
MA,3,2,2868.95,52557.75,0,0,4507.91,0,111372.42,54638.74,3589.69,66.28,3907.16,13,419,44904.35,727.6258234,304875.22,,11931.85,6272,21955.83,16.2,271080.41,1137,,16595.88
MA,3,3,1010.43,49884.27,0,0,3313.71,0,92915.22,46381.5,2753.97,58.68,2707.8,13,796,45959.19,324.9124372,258630.3,,10303.65,4263.24,15962.91,16.2,207474.93,0,,12323.88
MA,3,4,1689.86,58642.64,1,0,4566.89,0,115472.25,59115.46,2856.99,83.12,3896.65,13,462,52089.66,702.4372294,324526,,9999.4,6248.27,20211.4,16.2,269544.53,1000,,14901.97
MA,3,5,3064.67,47832.31,0,0,5883.39,0,114965.81,62402.8,1711.61,108.91,5420.05,13,395,35986.43,836.6707848,330484.96,,3385.99,8871.1,21602.97,16.2,303606.4,1875,,13798.39
MA,3,6,874.14,49794.87,0,1,3479.22,0,92533.38,44426.1,1428,59.16,3091.62,13,313,43848.78,808.6889137,253119.63,,2217.99,4326.33,19493.73,16.2,238442.34,0,,12237.96
MA,3,7,3346.48,52406.5,0,1,4333.39,0,107490.23,53045.05,1172.97,80.23,4547.26,13,136,42783.23,2194.453015,298445.61,,1783.09,6466.62,24040.45,16.2,286646.22,0,,21353.16
MA,3,8,3098.95,49785.05,0,1,6019.83,0,118594.57,64145,1767.61,111.23,5541.29,13,83,37705.99,4101.34,340411.22,,3472.97,9040.76,22367.43,16.2,312957.08,0,,14278.31
MA,3,9,7510.92,54049.54,0,1,6008.85,0,103891.07,51993.2,4798.64,455.64,4187.95,13,3634,41479.99,81.90549532,297644.57,,16274.51,5460.58,22664.76,16.2,221911.86,0,,13904.03
MA,3,10,6185.62,42069.18,1,1,5302.04,0,110690.95,58041.8,704.95,108.13,6159.89,13,144,28587.72,2197.241389,316402.76,15812755,1356.11,9242.07,24139.85,16.2,303310.18,0,,28248.97
MA,3,11,6756.76,46995.3,1,1,5859.14,0,120182.9,64071.1,852.66,117.02,6692.8,13,94,31678.74,3673.797447,345336.96,15812755,1599.52,10196.06,26841.56,16.2,332584,0,,29487.04
