STATE,SC,CD,ACEREGIO,AGE65,BANK,BLACK,BLUCLLR,CITY,COAST,CONSTRCT,CVLLBFRC,DC,ENROLL,FARMER,FINANCE,FLOOD,FORBORN,GVTWRKR,INTRLAND,LANDSQMI,MANUF,MARINE,MDNINCM,MILTINST,MILTMAJR,MILTPOP,POPSQMI,POPULATN,PORT,RURLFARM,TRANSPRT,UNEMPLYD,UNION,URBAN,VABEDS,VETERANS,WHLRETL
CT,1,0,,,3801,53472,395880,0,1,,874661,0,297400,21238,,,,60633,0,4899,,0,,2,1,6593,410,2007280,0,,,46854,27,,0,,
CT,1,1,1,43995,3801,16242,103680,1,0,12066,246430,0,78075,5386,21560,1,83661,18476,0,740,94937,0,3736,0,0,230,729,539661,0,86304,9656,12600,27,437248,299,318000,46608
CT,1,2,1,31429,3801,3762,61213,0,1,8008,127256,0,46570,7644,3008,1,39700,13017,0,1978,49164,1,3252,2,1,5941,161,318621,0,135518,5662,6941,27,156347,0,,20631
CT,1,3,1,33031,3801,11277,76204,0,1,7732,161932,0,55342,1967,4333,1,54021,9364,0,415,68690,0,3505,0,0,148,895,371133,0,4954,11047,9215,27,327339,478,,26402
CT,1,4,1,42798,3801,16295,98197,0,1,14053,220115,0,74515,2478,6520,1,77140,12894,0,633,89086,0,3664,0,0,178,797,504342,0,68904,10761,11763,27,430941,0,,40177
CT,1,5,1,25530,3801,5896,56586,0,0,6713,118928,0,42898,3763,2955,1,38551,6882,0,1144,50626,0,3445,0,0,96,239,273523,0,10340,6830,6335,27,206741,0,,17937
CT,1,99,,,3801,53472,395880,0,1,,874661,0,297400,21238,,,293073,60633,0,4899,,0,,2,1,6593,410,2007280,0,,,46854,27,,0,,
ME,2,0,,,,1221,151848,,,,342442,,161585,28075,,,,29392,0,31040,,,,,,2900,29,913774,,,,30116,22,,,,
ME,2,1,1,34028,16233,608,57757,0,1,6359,126858,0,55425,5236,3486,1,28330,10159,0,4223,42986,0,2817,2,2,2376,78,327874,0,27603,8498,10771,22,204681,0,122000,24839
ME,2,2,1,32433,16233,286,56020,0,1,5548,116615,0,50785,9668,1748,1,24505,9791,0,8561,42848,0,2564,0,0,211,35,295754,0,43044,5905,8701,22,156394,869,,18324
ME,2,3,1,27101,16233,327,38071,0,1,4864,98969,0,55375,13171,1493,1,19041,9442,0,18256,21185,1,2385,3,3,313,16,290146,0,51181,8222,10644,22,110925,0,,17536
MA,3,0,,,,73171,843436,,,,1938611,,706515,28355,,,,186496,0,7867,,,,,,22906,596,4690514,,,,111904,30,,,,
MA,3,1,1,29831,9225,3128,58162,0,0,5852,123223,0,36256,4626,3187,1,33738,9140,0,2614,52473,0,3239,0,0,1123,113,294446,0,15794,6800,5888,30,216645,0,743000,19932
MA,3,2,1,32067,9225,5628,67387,0,0,6534,144241,0,48169,3366,4894,1,46617,14150,0,419,59133,0,3300,2,1,3434,820,343426,0,10230,7977,6262,30,281906,1105,,29477
