STATE,SC,CD,ACEREGIO,AGE65,BANK,BLACK,BLUCLLR,CITY,COAST,CONSTRCT,CVLLBFRC,DC,ENROLL,FARMER,FLOOD,FORBORN,GVTWRKR,INTRLAND,LANDSQMI,MANUF,MARINE,MDNINCM,MILTINST,MILTMAJR,MILTPOP,NUCPLANT,POPSQMI,POPULATN,PORT,RURLFARM,TRANSPRT,UNEMPLYD,UNION,URBAN,VABEDS,VETERANS,WHLRETL
CT,1,0,,242615,7405,107449,408312,0,0,56599,1058750,0,516249,5492,,275523,90431,0,4899,406785,0,6887,0,0,12450,,517.5,2535234,0,24514,22891,48306,27,1985567,0,367662,155927
CT,1,1,1,62424,7405,31715,109883,0,0,14866,298577,0,140169,1103,2.84816484,84067,25594,0,740,111182,0,7054,3,0,873,0,931.8,689555,0,4579,4750,13771,27,573966,250,367662,45051
CT,1,2,1,40115,7405,7153,67598,0,1,9292,158609,0,81768,2252,2.84816484,35191,19337,0,1978,62963,1,6388,2,1,10306,0,208.3,411919,0,12292,2914,7539,27,201102,0,367662,21979
CT,1,3,1,45017,7405,25296,72753,0,1,9783,193456,0,92702,610,2.84816484,45402,16231,0,404,67489,0,6747,0,0,697,0,1141.7,461229,0,1540,7749,8810,27,404871,823,367662,30731
CT,1,4,1,61224,7405,33614,96486,0,1,15848,274351,0,135528,545,2.84816484,73959,19757,0,633,102510,0,7371,0,0,401,0,1032.5,653589,0,1130,5544,10796,27,568759,0,367662,40196
CT,1,5,1,33835,7405,9671,61592,0,0,6810,133757,0,66082,982,2.84816484,36904,9512,0,1144,62641,0,6598,0,0,173,0,278.8,318942,0,4973,1934,7390,27,236869,0,367662,17970
CT,1,98,,242615,7405,107449,408312,0,1,56599,1058750,0,516249,5492,2.84816484,275523,90431,0,4899,406785,0,6887,1,0,12450,0,517.5,2535234,0,24514,22891,48306,27,1985567,179,367662,155927
ME,2,0,,106544,1550,3318,154856,0,0,19764,353398,0,211839,7759,,60403,41388,31652,31012,109906,0,4873,0,0,17067,,31.3,969265,0,48152,12409,22814,21,497114,0,120759,58402
ME,2,1,1,55138,1550,1110,71536,0,1,10036,173776,0,98896,2795,2.84816484,26714,22313,31652,4530,50132,1,5111,2,0,5522,0,102.4,463800,18462915,17339,6631,10020,21,263280,869,120759,30194
ME,2,2,1,51406,1550,2208,83320,0,1,9728,179622,0,112943,4964,2.84816484,33689,19075,31652,26482,59774,0,4651,4,2,11545,0,19.1,505465,0,30813,5778,12794,21,233834,0,120759,28208
