STATE,SC,CD,REDIST,ACEREGIO,AGE65,BANK,BLACK,BLUCLLR,CITY,COAST,CONSTRCT,CVLLBFRC,DC,ENROLL,FARMER,FLOOD,FORBORN,GVTWRKR,INTRLAND,LANDSQMI,MANUF,MARINE,MDNINCM,MILTINST,MILTMAJR,MILTPOP,NUCPLANT,POPSQMI,POPULATN,PORT,RURLFARM,TRANSPRT,UNEMPLYD,UNION,URBAN,VABEDS,VETERANS,WHLRETL
CT,1,0,1,,242615,4434,107449,411317,0,0,56599,1058750,0,516249,5492,,275523,90431,0,4899,406785,0,6887,0,0,12450,,517.5003062,2535234,0,24514,22891,48306,27,1985567,0,367662,155927
CT,1,1,1,1,40319,4434,27889,61411,0,0,9406,187380,0,84154,543,2.84816484,53228,17329,0,309,59573,0,7238,3,0,463,0,1368.174757,422766,0,2154,3201,7598,27,381638,250,101568,29912
CT,1,2,1,1,40115,4434,7153,67598,0,1,9292,158609,0,81768,2252,2.84816484,35191,19337,0,1978,62963,1,6388,2,1,10306,0,208.2502528,411919,0,12292,2914,7539,27,201102,0,56309,21979
CT,1,3,1,1,39983,4434,25599,64018,0,1,9042,172811,0,82376,375,2.84816484,40434,14161,0,305,58559,0,6777,0,0,669,0,1343.255738,409693,0,1107,7560,7560,27,365196,823,111309,27914
CT,1,4,1,1,45195,4434,30229,67836,0,1,11153,204220,0,99479,252,2.84816484,58985,13889,0,253,72988,0,7425,0,0,356,0,1905.671937,482135,0,119,4053,7849,27,451678,0,98476,30360
CT,1,5,1,1,40144,4434,11763,74550,0,0,8384,167848,0,83434,568,2.84816484,44159,12470,0,556,78419,0,6848,0,0,221,0,727.5539568,404520,0,1987,2833,8760,27,326380,0,-6,23048
CT,1,6,1,1,36859,4434,4816,72904,0,0,9327,167882,0,85038,1502,2.84816484,43526,13245,0,1498,74283,0,6746,0,0,435,,269.8271028,404201,0,6855,2330,9000,27,259573,0,367662,22714
ME,2,0,0,,106544,1058,3318,154856,0,0,19764,353398,0,211839,7759,,60403,41388,32265,31012,109906,0,4873,0,0,17067,,31.25451438,969265,0,48152,12409,22814,21,497114,0,120759,58402
ME,2,1,0,1,55138,1058,1110,71536,0,1,10036,173776,0,98896,2795,2.84816484,26714,22313,32265,4530,50132,1,5111,2,0,5522,0,102.384106,463800,18462915,17339,6631,10020,21,263280,869,61888,30194
ME,2,2,0,1,51406,1058,2208,83320,0,1,9728,179622,0,112943,4964,2.84816484,33689,19075,32265,26482,59774,0,4651,4,2,11545,0,19.08711578,505465,0,30813,5778,12794,21,233834,0,58871,28208
MA,3,0,0,,571609,9422,111842,779407,0,0,99823,2087874,0,1031426,7195,,576452,229393,15606,7867,709268,0,6272,0,0,41411,,654.4525232,5148578,0,35946,61302,87562,28,4303269,0,740822,346520
MA,3,1,0,1,44820,9422,2513,59518,0,0,6635,150272,0,76621,1851,2.84816484,31451,16377,15606,2523,56965,0,5886,2,0,719,1,149.1621086,376336,0,10242,3144,7216,28,268277,1105,-9,22797
