STATE,FIPSTATE,SC,CD,ACEREGIO,AGE65,BANK,BLACK,BLUCLLR,CITY,COAST,CONSTRCT,CVLLBFRC,DC,ENROLL,FARMER,FEDWRKR,FINANCE,FLOOD,FORBORN,GVTWRKR,INTRLAND,LANDSQMI,LOCLWRKR,MANUF,MARINE,MDNINCM,MILTINST,MILTMAJR,MILTPOP,NUCPLANT,POPSQMI,POPULATN,PORT,RURLFARM,STATWRKR,TRANSPRT,UNEMPLYD,UNION,URBAN,VABEDS,VETERANS,WHLRETL,WHLSALE
CT,9,1,1,1,105512,16110,59402,36435,0,0,10077,263974,0,93357,1894,5854,38794,5.78,56288,38457,2386,455,19438,60811,0,23026,1,0,336,,1134.575824,516232,,532,13165,6951,11060,18.9,456475,186,66601,45438,9633
CT,9,1,2,1,85879,16110,14952,42898,0,1,10639,248051,0,98008,4255,7883,12335,5.78,27761,43686,2386,1778,17551,76500,1,21176,4,1,13051,1,291.4420697,518184,,3442,18252,6492,12845,18.9,284028,0,71979,40101,6173
CT,9,1,3,1,103570,16110,53548,42028,0,1,10000,259166,0,88809,1509,7146,14362,5.78,35932,34237,2386,394,19837,66702,0,22267,1,0,280,,1316.591371,518737,,340,7254,9848,14669,18.9,459588,641,69895,47947,10987
CT,9,1,4,1,102030,16110,58252,37129,0,1,10684,260476,0,87276,1878,4560,19254,5.78,63829,28488,2386,224,20118,75873,0,25879,0,0,200,,2315.084821,518579,,90,3810,8777,11242,18.9,499492,0,68102,45908,9850
CT,9,1,5,1,91987,16110,21410,47856,0,0,11077,257213,0,100462,1752,4329,12735,5.78,44341,30578,2386,595,19179,90665,0,23927,0,0,220,1,871.7613445,518698,,783,7070,7504,11552,18.9,406512,0,71581,43283,8447
CT,9,1,6,1,96297,16110,9077,51239,0,0,11948,265930,0,97240,2859,4263,21222,5.78,39655,31683,2386,1426,18474,88265,0,23548,0,0,348,,362.654979,517146,,2196,8946,7016,11133,18.9,343679,0,74641,46487,8201
ME,23,2,1,1,119966,3890,1733,48333,0,1,13973,263344,0,116686,7008,11784,13195,5.78,20474,44197,34529,4575,20026,62049,1,17146,2,1,4781,1,127.0349727,581185,,6020,12387,9093,17595,18.5,296134,454,82309,50364,9773
ME,23,2,2,1,105633,3890,1648,53894,0,1,11953,234057,0,115455,10420,6750,7052,5.78,22928,37790,34529,26420,19276,63309,0,15126,3,1,4576,,20.57059046,543475,,7943,11764,7602,20284,18.5,237938,0,71109,39946,6892
MA,25,3,1,1,108119,36234,6145,45177,0,0,9362,252597,0,93637,4012,5621,10641,5.78,24677,46194,29945,2715,21389,67226,0,19567,1,0,292,1,192.4640884,522540,,3434,19184,6973,14659,19.7,360541,539,70664,44190,6584
MA,25,3,2,1,107964,36234,27594,53595,0,0,8433,247800,0,97620,2126,5656,13809,5.78,38478,34715,29945,999,20935,81540,0,19648,1,1,1066,,522.4644645,521942,,1832,8124,8295,13718,19.7,414099,0,71434,43707,7779
MA,25,3,3,1,99498,36234,7608,46794,0,0,9656,257462,0,102860,1961,5186,12887,5.78,34384,39043,29945,729,23009,79763,0,21847,0,0,613,,715.175583,521363,,1098,10848,7876,11668,19.7,396439,0,69600,45204,10093
MA,25,3,4,1,108542,36234,5067,43139,0,1,9254,263856,0,94857,1646,5943,14692,5.78,56749,36143,29945,501,21489,70322,0,22758,1,0,365,,1041.922156,522003,,771,8711,6365,12280,19.7,435213,0,64699,45550,10141
MA,25,3,5,1,87613,36234,7889,42932,0,0,9080,254421,0,102426,1614,9976,12164,5.78,40225,37499,29945,575,20840,85380,0,23489,2,2,6970,,901.3965217,518303,,868,6683,6188,10087,19.7,427592,741,68531,40829,7827
MA,25,3,6,1,111071,36234,4902,39824,0,1,10965,257327,0,97115,2604,6813,14675,5.78,34335,39413,29945,447,24520,69126,0,22131,0,0,267,,1160.718121,518841,,435,8080,9530,11892,19.7,461486,0,74381,49052,9424
MA,25,3,7,1,106836,36234,5875,36610,0,1,11742,263294,0,100949,1278,9347,19127,5.78,40663,39994,29945,162,21580,57551,0,23088,0,0,516,,3234.45679,523982,,0,9067,14177,11678,19.7,518421,0,72253,51228,12531
MA,25,3,8,1,112289,36234,23682,29560,1,1,8684,281579,0,53379,1107,8437,19701,5.78,81843,40008,29945,54,19749,43493,0,19973,1,0,514,,9656.574074,521455,,0,11822,9177,12284,19.7,521548,0,52428,46040,8931
MA,25,3,9,1,103750,36234,83104,35813,1,1,8875,245670,0,92457,1451,8802,17101,5.78,59507,47178,29945,362,24382,46946,0,19938,0,0,2417,,1434.48895,519285,,538,13994,9625,13879,19.7,472908,735,60584,43012,9126
MA,25,3,10,1,123933,36234,7058,37150,0,1,13783,236140,0,104405,4581,6607,13724,5.78,44318,39326,29945,1099,25084,45926,1,19577,1,1,1973,1,475.1592357,522200,,816,7635,8275,15659,19.7,284839,0,72676,48840,7767
MA,25,3,11,1,111864,36234,42105,36684,1,1,11707,256228,0,97399,980,9185,21334,5.78,45803,43451,29945,183,24419,46919,0,20955,1,1,1197,,2869.52459,525123,,47,9847,11836,14295,19.7,515253,1006,70225,51771,10197
NH,33,4,1,1,82588,3986,2165,43694,0,1,13781,226857,0,85716,2549,10219,12560,5.78,21635,36571,4753,4515,17020,65191,0,19665,1,1,3998,1,102.0657807,460827,,2189,9332,6936,11203,12.3,248889,164,67431,43838,7830
NH,33,4,2,1,82869,3986,2159,44309,0,0,12356,227573,0,87846,4133,5323,11013,5.78,19326,30411,4753,4478,16209,72761,0,19780,1,0,340,,102.6759714,459783,,4451,8879,5913,10605,12.3,231436,0,66218,39137,6594
RI,44,5,1,1,108515,7757,11739,50390,0,1,8643,230577,0,75166,1612,6767,10661,5.78,51687,31062,5,276,14915,71671,0,19387,4,0,5499,,1719.26087,474516,,438,9380,5700,15131,19.4,444585,0,63728,40806,7986
