YEAR,SC,CD,ACEREGIO,AGE65,BANK,BLACK,BLUCLLR,CITY,COAST,DC,ENROLL,FARMER,FEDWRKR,FINANCE,FLOOD,FORBORN,GVTWRKR,INTRLAND,LANDSQMI,LOCLWRKR,MANUF,MARINE,MDNINCM,MILTINST,MILTMAJR,MILTPOP,NUCPLANT,POPSQMI,POPULATN,PORT,RURLFARM,STATWRKR,TRANSPRT,UNEMPLYD,UNION,URBAN,VABEDS,VETERANS,WHLRETL,PREVPARTY,PREVCANDVO,PREVTOTVO,PARTY,CANDIDATEVOTES,TOTALVOTES,ISTEST,,
1988,12,11,2,82185,41732,9785,27871,0,1,0,102252,1714,7453,24014,16.53,45240,37281,36417,154,24813,61836,0,29464,0,0,293,0,3416.4,526125,0,713,5015,9257,10708,19.9,463087,0,72883,52758,1,75037,110317,1,154654,219427,1,1,0.901090136
1996,71,30,16,45691,328500,19738,54562,1,0,0,107275,2953,3682,18649,99.34,335060,23983,21892142,37,15946,51839,0,24390,0,0,175,0,15475.78,572604,42049893,0,4355,9454,27538,25.4,572604,0,2856770,59265,0,43943,66425,0,58283,80590,1,1,
1996,25,2,7,61383,54200,11081,37299,0,0,0,76858,15221,5592,22619,7.03,15657,64945,218612,5348,19220,43735,0,37432,0,0,539,0,101.65,543702,0,30717,40133,8830,9845,24.5,244335,200,517844,60067,1,133734,193249,1,154557,269374,1,1,
1980,13,26,2,41684,164253,28044,54485,0,0,0,117088,2646,5554,13392,2.32,35129,34541,22418,123,18114,38555,0,11632,1,0,6409,0,3800.2,467424,0,4235,10873,5924,5452,40.2,334505,0,53248,32972,1,87059,139637,1,137159,184692,1,1,
1994,14,17,2,76261,190400,37530,55038,0,0,0,79779,5762,11116,19629,28.01,10952,46732,94068,1485,13690,58098,0,37251,2,1,1177,1,380.94,565702,0,9510,21926,-1,10287,27,262921,486,1402128,58165,1,150158,216039,1,133788,133975,1,1,
1984,40,3,2,89533,29834,150969,39568,0,0,0,96297,1396,10311,22619,16.53,11922,56938,289424,711,22325,48156,0,21598,1,0,730,-1,750.54,533632,0,645,24302,10598,11685,10.9,491897,694,70541,53521,1,92928,156891,1,169987,198567,1,1,
1986,23,10,3,81795,56621,2660,40087,0,0,0,111631,7510,3205,7100,1.17,9877,36098,693643,5991,19186,50848,0,18614,0,0,215,1,85.9,514597,0,30254,13707,5202,24899,33.7,146628,0,59335,36965,1,104950,209645,1,78475,153424,1,1,
1996,3,8,1,64735,97700,140312,28370,1,1,0,60166,1225,8295,29303,24.75,128098,41422,32047,44,18420,34670,0,35764,0,0,632,0,13690.82,602396,0,0,14707,11837,23917,19.7,602396,0,630729,50181,0,113224,114423,0,147126,174620,1,1,
1982,72,4,17,86543,14178,1711,41409,0,1,0,98928,11951,6360,10353,5.89,14913,38364,15885601,16024,21421,46557,0,18831,1,0,625,0,32.85,526464,0,16417,10583,8426,25728,27.5,299079,342,78817,47127,0,158745,289634,0,115448,195524,1,1,
1982,1,5,1,91987,16110,21410,47856,0,0,0,100462,1752,4329,12735,5.78,44341,30578,2386,595,19179,90665,0,23927,0,0,220,1,871.76,518698,0,783,7070,7504,11552,18.9,406512,0,71581,43283,0,117316,232943,0,101362,173373,1,1,
