,ACEREGIO,AGE65,BANK,BLACK,BLUCLLR,CD,CITY,COAST,CONSTRCT,CVLLBFRC,DC,ENROLL,FARMER,FEDWRKR,FINANCE,FIPSTATE,FLOOD,FORBORN,GVTWRKR,INTRLAND,LANDSQMI,LOCLWRKR,MANUF,MARINE,MDNINCM,MILTINST,MILTMAJR,MILTPOP,NUCPLANT,POPSQMI,POPULATN,PORT,RURLFARM,SC,STATE,STATWRKR,TRANSPRT,UNEMPLYD,UNION,URBAN,VABEDS,VETERANS,WHLRETL,ID,party,candidatevotes,totalvotes,winratio,prev_party,prev_candidatevotes,prev_totalvotes,prev_winratio,flip
0,1,-0.7283114340000001,0.008851181,0.110357086,1.186406317,1,0,0,0.05314924099999999,0.10382103599999999,0,0.8122418779999999,0.027826938,0.054574736,35710,9,0.003805384,0.18005882,-0.33457433,0,382,-0.14229614599999998,0.7043643340000001,0,-0.840179978,0.0,0.0,0.004128181,0,-0.17909343100000003,0.240939478,0.0,0.008314186,1,CT,-0.034330288,-1.651572441,0.074255272,0.371832049,0.7375346559999999,0.07783122,0.014364419,-0.22359663100000002,1978-CT-1,0,-0.19206011,0.083530728,-0.590449259,0,0.473160645,0.9773381740000001,-0.754996153,0
1,1,-1.041666549,0.008851181,0.02420253,1.553645982,2,0,0,-0.247585783,-0.8861570320000001,0,1.074812507,0.059342293,0.073574127,10978,9,0.003805384,0.10132325699999999,-0.014599667,0,1834,-1.044694536,1.149813962,1,-0.9405344090000001,0.23076923100000002,0.2,0.17072576600000003,1,-0.314168453,0.241044349,0.0,0.046498857000000005,1,CT,0.896579183,-1.551586648,0.095542196,0.371832049,-0.924597577,0.316134674,0.012484898000000001,-1.3602940419999998,1978-CT-2,0,0.17870848399999997,-0.016457862,0.129861199,0,0.857793782,0.8757878090000001,-0.197109809,0
2,1,-0.827406318,0.008851181,0.09502888300000001,1.560141714,3,0,1,-0.46138265700000003,-0.174225558,0,0.859927222,0.019279928,0.064270117,16392,9,0.003805384,0.124940143,-0.68620898,0,382,-0.10016557400000001,0.95222879,0,-0.8899193470000001,0.0,0.0,0.002552548,0,-0.17913562800000002,0.240764693,0.0,0.006939381,1,CT,-0.758712267,-0.6004605510000001,0.095961369,0.371832049,0.69932315,0.0,0.014607005,-0.27987792,1978-CT-3,0,-0.350227988,-0.020405237,-0.688858495,0,0.287518633,0.934503216,-0.926699323,0
3,1,-0.797911575,0.008851181,0.10742683300000001,1.2730697290000001,4,0,1,-0.47224992600000004,-0.121234909,0,0.8899337429999999,0.010129824,0.039235234,21367,9,0.003805384,0.18752258600000002,-1.139680092,0,188,-0.240506142,1.319363109,0,-0.782296663,0.0,0.0,0.003061457,0,-0.003065896,0.24086676699999998,0.0,0.001032497,1,CT,-1.166598257,-1.256106243,0.086613712,0.371832049,0.9751716429999999,0.0,0.01427031,-0.25522468,1978-CT-4,4,-0.6933392490000001,-0.41458634200000005,-0.672644171,4,0.414538277,0.660116524,-0.480779135,0
4,1,-0.92632095,0.008851181,0.039394081000000004,1.816793165,5,0,1,-0.405493848,-0.48045245,0,1.353980507,0.0205383,0.020051003,13627,9,0.003805384,0.143385875,-1.134821239,0,585,-0.560913979,1.887518115,0,-0.825380765,0.0,0.0,0.002237073,0,-0.238321802,0.240796853,0.0,0.007579277,1,CT,-0.744434885,-1.3840872380000002,0.115539346,0.371832049,0.261552678,0.0,0.014174088,-1.0125177920000001,1978-CT-5,0,-0.35268641799999995,0.29827144,-1.092450629,4,1.245676195,1.171195849,-0.096160375,1
5,1,-1.0138027379999999,0.008851181,0.01473326,1.997902052,6,0,0,-0.263997576,-0.31084022,0,1.314436896,0.044986935,0.018983368,18225,9,0.003805384,0.136370032,-1.025678337,0,1491,-0.631274501,1.8700629880000001,0,-0.851826697,0.0,0.0,0.0035225670000000003,0,-0.306005923,0.240817828,0.0,0.031589709,1,CT,-0.502612203,-1.458951621,0.11396554,0.371832049,-0.273412278,0.0,0.014663843000000001,-0.9016642990000001,1978-CT-6,0,0.256549847,0.321068838,-0.267641048,0,0.647403111,1.210157527,-0.787671848,0
6,1,-0.424327881,0.000495708,0.002038372,1.821752482,1,0,1,-0.242928382,-0.88564385,0,0.948355065,0.086325153,0.11036264,12187,23,0.003805384,0.064725513,-0.39083180700000003,34400,4569,-1.110873114,0.470188241,1,-1.132924187,0.076923077,0.0,0.06418445,1,-0.335721356,0.2273244,0.131169177,0.058942535,2,ME,-0.085880444,-0.834107222,0.07871639999999999,-0.20706280100000002,-0.627496218,0.325317009,0.014114481000000002,-0.612832472,1978-ME-1,4,0.290059312,0.49950065,-0.45615452,4,0.934666254,1.4800195230000002,-0.734434778,0
7,1,-0.613288476,0.000495708,0.003074008,2.013482781,2,0,1,-0.604209615,-1.23695842,0,1.256406353,0.154151908,0.05561905,8021,23,0.003805384,0.078479487,-0.874547128,34400,26351,-1.0548708,0.7186763079999999,0,-1.21655288,0.076923077,0.2,0.064156527,0,-0.34727439,0.230541849,0.0,0.100875831,2,ME,-0.358311263,-1.0012388840000002,0.142446469,-0.20706280100000002,-0.936406238,0.0,0.011088481,-1.324820342,1978-ME-2,4,-0.5878138310000001,0.091755876,-1.196258909,4,1.578266749,0.8799956,0.645376844,0
8,1,-0.5639007189999999,0.02162639,0.009242004,1.416265809,1,0,0,-0.7663315190000001,-0.537979517,0,0.825836563,0.066466057,0.045854966,10888,25,0.003805384,0.09344669800000001,-0.152354285,27131,2473,-0.268455827,0.996385877,0,-0.990799194,0.076923077,0.0,0.014323236999999999,1,-0.325232503,0.190629269,0.0,0.044705256,3,MA,0.44875666,-1.418139725,0.127954906,0.340255966,0.026599385,0.31001311800000003,0.014789372,-1.108644019,1978-MA-1,4,0.583520984,-0.62327557,2.212116825,4,0.721540776,0.815259003,-0.287650691,0
9,1,-0.675978984,0.02162639,0.050827508,2.01030306,2,0,0,-0.99033032,-0.57279971,0,1.199684081,0.029319792999999997,0.04809938,14405,25,0.003805384,0.11947029,-0.996299585,27131,1233,-0.43546750799999995,1.5024484569999998,0,-0.994564675,0.076923077,0.2,0.065169648,0,-0.300318465,0.19458920600000001,0.0,0.017810226000000002,3,MA,-0.8906173609999999,-1.343312087,0.119341747,0.340255966,0.17543677100000002,0.0,0.014309551,-0.556261809,1978-MA-2,0,-0.22356542,-0.491794922,0.331880607,0,0.6337019939999999,0.285059758,0.313099257,0
