ACEREGIO,AGE65,BANK,BLACK,BLUCLLR,CD,CITY,COAST,CONSTRCT,CVLLBFRC,DC,ENROLL,FARMER,FEDWRKR,FINANCE,FIPSTATE,FLOOD,FORBORN,GVTWRKR,INTRLAND,LANDSQMI,LOCLWRKR,MANUF,MARINE,MDNINCM,MILTINST,MILTMAJR,MILTPOP,NUCPLANT,POPSQMI,POPULATN,PORT,RURLFARM,SC,STATE,STATWRKR,TRANSPRT,UNEMPLYD,UNION,URBAN,VABEDS,VETERANS,WHLRETL,ID,YEAR,party,candidatevotes,totalvotes,winratio,prev_party,prev_candidatevotes,prev_totalvotes,prev_winratio,flip
1,52703,8705,51569,68504,1,0,0,13657,228958,0,113096,1246,5413,35710,9,1.40810656,53868,31359,0,382,16644,60863,0,12031,0,0,378,,1323.08377,505418,0,1208,1,CT,9302,3270,6768,27.5,455763,178,61883,42454,1978-CT-1,1978,0,102749,172564,0.595425465,0,128479,225076,0.570824966,0
1,44350,8705,11501,75347,2,0,0,12301,199427,0,118544,2573,6626,10978,9,1.40810656,30646,34611,0,1834,13087,69385,1,10885,3,1,14119,1,275.6232279,505493,0,6757,1,CT,14898,3614,7530,27.5,238894,723,57185,33055,1978-CT-2,1978,0,116624,166814,0.699125973,0,142684,219308,0.650610101,0
1,50047,8705,44429,75438,3,0,1,11337,220601,0,114054,886,6030,16392,9,1.40810656,37599,27784,0,382,16806,65583,0,11463,0,0,248,,1322.756545,505293,0,1008,1,CT,4948,6879,7542,27.5,450665,0,62475,41978,1978-CT-3,1978,0,96830,166587,0.581257841,0,121623,222643,0.546269139,0
1,50841,8705,50201,70109,4,0,1,11288,222215,0,114691,501,4434,21367,9,1.40810656,56064,23187,0,188,16255,72607,0,12692,0,0,290,,2688.117021,505366,0,150,1,CT,2498,4628,7209,27.5,486724,0,61641,42188,1978-CT-4,1978,4,83990,143919,0.583592159,4,126314,207058,0.610041631,0
1,47411,8705,18561,80215,5,0,1,11589,211469,0,124275,939,3210,13627,9,1.40810656,43041,23234,0,585,14990,83454,0,12200,0,0,222,,863.7880342,505316,0,1101,1,CT,5034,4188,8242,27.5,393569,0,61394,35920,1978-CT-5,1978,0,96738,184913,0.523154132,4,157009,236087,0.665047207,1
1,45079,8705,7094,83586,6,0,0,12227,216539,0,123461,1968,3142,18225,9,1.40810656,40973,24342,0,1491,14713,83123,0,11898,0,0,328,,338.9208585,505331,0,4589,1,CT,6487,3931,8186,27.5,323781,0,62622,36838,1978-CT-6,1978,0,119537,186224,0.641899003,0,134914,238300,0.566151909,0
1,59641,2283,1168,78776,1,0,1,12322,195571,0,113678,3637,8799,12187,23,1.40810656,19463,30195,34400,4569,12577,55302,1,8688,1,0,5228,1,108.4878529,495681,27565807,8399,2,ME,8819,5961,6794,22,272281,744,60077,38478,1978-ME-1,1978,4,120791,196485,0.614759396,4,145523,253628,0.573765515,0
1,54951,2283,1648,82656,2,0,1,10693,186143,0,120483,6467,5399,8021,23,1.40810656,23551,25499,34400,26351,12853,60237,0,7733,1,1,5250,,18.89803044,497982,0,14441,2,ME,7247,5423,9070,22,233826,0,52890,32853,1978-ME-2,1978,4,87939,173037,0.508209227,4,169292,219547,0.771096849,0
1,53025,18524,4218,67599,1,0,0,9962,194859,0,105306,2668,4511,10888,25,1.40810656,26302,30844,27131,2473,14997,61713,0,10311,1,0,1132,1,189.8253134,469438,0,6033,3,MA,11336,3782,8069,27.2,337147,709,58466,32631,1978-MA-1,1978,4,131773,131918,0.998900832,4,137652,215870,0.637661556,0
1,50551,18524,22316,78333,2,0,0,8952,195063,0,113166,1223,4672,14405,25,1.40810656,33634,23028,27131,1233,14472,71121,0,10268,1,1,5057,,383.0251419,472270,0,2418,3,MA,3884,4045,7830,27.2,357330,0,57696,37098,1978-MA-2,1978,0,101570,139479,0.728209981,0,134408,185755,0.723576754,0
