ACEREGIO,AGE65,BANK,BLACK,BLUCLLR,CD,CITY,COAST,CONSTRCT,CVLLBFRC,DC,ENROLL,FARMER,FEDWRKR,FINANCE,FIPSTATE,FLOOD,FORBORN,GVTWRKR,INTRLAND,LANDSQMI,LOCLWRKR,MANUF,MARINE,MDNINCM,MILTINST,MILTMAJR,MILTPOP,NUCPLANT,POPSQMI,POPULATN,PORT,RURLFARM,SC,STATE,STATWRKR,TRANSPRT,UNEMPLYD,UNION,URBAN,VABEDS,VETERANS,WHLRETL,ID,party,candidatevotes,totalvotes,winratio,prev_party,prev_candidatevotes,prev_totalvotes,prev_winratio,flip
1,-0.61252556,0.008851181,0.110357086,1.040601128,1,0,0,0.067339131,0.225258273,0,0.733379327,0.027826938,0.054574736,35710,9,0.003805384,0.18005882,-0.284396984,0,382,-0.162999128,0.711866856,0,-0.784872232,0,0,0.004128181,0,-0.1813838,0.240939478,0,0.008314186,1,CT,-0.022253042,-1.651340148,0.074255272,0.298336089,0.754212858,0.07783122,0.014364419,-0.196318177,1978-CT-1,0,-0.142401873,0.222135976,-0.717238168,0,0.677962969,1.294772863,-0.839329995,0
1,-0.942645717,0.008851181,0.02420253,1.390407635,2,0,0,-0.233675762,-0.750018044,0,0.983001605,0.059342293,0.073574127,10978,9,0.003805384,0.101323257,0.037985287,0,1834,-0.914300471,1.157909497,1,-0.877989707,0.230769231,0.2,0.170725766,1,-0.313664905,0.241044349,0,0.046498857,1,CT,0.909531439,-1.551278449,0.095542196,0.298336089,-0.865752225,0.316134674,0.012484898,-1.31572595,1978-CT-2,0,0.223795745,0.118467406,-0.000340119,0,1.085325715,1.184667223,-0.281868075,0
1,-0.716922193,0.008851181,0.095028883,1.396595009,3,0,1,-0.4476716,-0.048659167,0,0.778713126,0.019279928,0.064270117,16392,9,0.003805384,0.124940143,-0.638677465,0,382,-0.128781861,0.960061287,0,-0.831024698,0,0,0.002552548,0,-0.181425124,0.240764693,0,0.006939381,1,CT,-0.747315904,-0.599430282,0.095961369,0.298336089,0.716970752,0,0.014607005,-0.251743403,1978-CT-3,0,-0.298619797,0.114374752,-0.815181198,0,0.48135058,1.248329205,-1.010902537,0
1,-0.68584943,0.008851181,0.107426833,1.123150559,4,0,1,-0.458548982,0.00354454,0,0.807239912,0.010129824,0.039235234,21367,9,0.003805384,0.187522586,-1.095560663,0,188,-0.245162812,1.327684359,0,-0.731163113,0,0,0.003061457,0,-0.008997251,0.240866767,0,0.001032497,1,CT,-1.155585287,-1.255573723,0.086613712,0.298336089,0.985821159,0,0.01427031,-0.22746515,1978-CT-4,4,-0.637501051,-0.294313794,-0.799043688,4,0.615876355,0.950826362,-0.565321592,0
1,-0.821128928,0.008851181,0.039394081,1.641063012,5,0,1,-0.391730779,-0.350338412,0,1.248402774,0.0205383,0.020051003,13627,9,0.003805384,0.143385875,-1.09066525,0,585,-0.512353196,1.896595732,0,-0.771140249,0,0,0.002237073,0,-0.23938708,0.240796853,0,0.007579277,1,CT,-0.733025102,-1.383651877,0.115539346,0.298336089,0.290306215,0,0.014174088,-0.97323952,1978-CT-5,0,-0.301047918,0.444780005,-1.216861349,4,1.496129751,1.504962392,-0.18099544,1
1,-0.913291143,0.008851181,0.01473326,1.813574515,6,0,0,-0.250102828,-0.183245021,0,1.210809208,0.044986935,0.018983368,18225,9,0.003805384,0.136370032,-0.980701116,0,1491,-0.570860498,1.879117366,0,-0.79567906,0,0,0.003522567,0,-0.30567121,0.240817828,0,0.031589709,1,CT,-0.490975118,-1.458573095,0.11396554,0.298336089,-0.231087048,0,0.014663843,-0.864072155,1978-CT-6,0,0.30067745,0.468416439,-0.395959233,0,0.862502164,1.54720646,-0.87198083,0
1,-0.292278362,0.000495708,0.002038372,1.645786905,1,0,1,-0.229014027,-0.749512483,0,0.862780257,0.086325153,0.11036264,12187,23,0.003805384,0.064725513,-0.341077764,0.000371595,4569,-1.022021496,0.477379013,1,-1.056505493,0.076923077,0,0.06418445,1,-0.334772003,0.2273244,0.131169177,0.058942535,2,ME,-0.073851652,-0.833254332,0.0787164,-0.267976038,-0.576188122,0.325317009,0.014114481,-0.579633579,1978-ME-1,4,0.333773797,0.653415255,-0.583579638,4,1.166740909,1.839803418,-0.818784261,0
1,-0.491348675,0.000495708,0.003074008,1.828415614,2,0,1,-0.590631475,-1.095609827,0,1.155640371,0.154151908,0.05561905,8021,23,0.003805384,0.078479487,-0.828432739,0.000371595,26351,-0.963725412,0.726197884,0,-1.134103388,0.076923077,0.2,0.064156527,0,-0.346086072,0.230541849,0,0.100875831,2,ME,-0.346538542,-1.000512875,0.142446469,-0.267976038,-0.877261308,0,0.011088481,-1.28079182,1978-ME-2,4,-0.533276591,0.230663843,-1.320177846,4,1.848374496,1.189229506,0.559977638,0
1,-0.439318588,0.02162639,0.009242004,1.259549008,1,0,0,-0.752904253,-0.407011168,0,0.746303606,0.066466057,0.045854966,10888,25,0.003805384,0.093446698,-0.100805847,0.000293074,2473,-0.510874673,1.004277158,0,-0.924629698,0.076923077,0,0.014323237,1,-0.324500104,0.190629269,0,0.044705256,3,MA,0.461287985,-1.417730216,0.127954906,0.267446337,0.061313526,0.310013118,0.014789372,-1.067903628,1978-MA-1,4,0.623617561,-0.510683621,2.072050999,4,0.941020939,1.11903907,-0.372340075,0
1,-0.557393234,0.02162639,0.050827508,1.825386837,2,0,0,-0.97711151,-0.441314261,0,1.101715289,0.029319793,0.04809938,14405,25,0.003805384,0.11947029,-0.951101307,0.000293074,1233,-0.621763963,1.511013443,0,-0.928123635,0.076923077,0.2,0.065169648,0,-0.300101393,0.194589206,0,0.017810226,3,MA,-0.879344982,-1.342845771,0.119341747,0.267446337,0.20637501,0,0.014309551,-0.523923379,1978-MA-2,0,-0.173518773,-0.374363959,0.200722239,0,0.84799139,0.544172331,0.227952839,0
1,-0.501331358,0.02162639,0.009707193,1.474336712,3,0,0,-0.893866241,-0.381652015,0,1.074070593,0.023726708,0.031559218,13736,25,0.003805384,0.123409503,-0.708990981,0.000293074,543,-0.456380507,1.235107818,0,-0.879777302,0,0,0.00480582,0,-0.239292633,0.190636261,0,0.014664472,3,MA,-0.453367708,-1.213865911,0.103072738,0.267446337,0.218950756,0,0.014671728,-0.466371429,1978-MA-3,0,0.295398926,-0.027281588,0.363968672,0,1.826235528,0.216088829,2.157343508,0
1,-0.489197779,0.02162639,0.011975996,0.40047841,4,0,0,-0.942703466,-0.195821452,0,0.606643727,0.016559859,0.063604873,18526,25,0.003805384,0.178308359,-0.485897426,0.000293074,391,-0.154761638,0.481788032,0,-0.754158092,0.076923077,0.2,0.129807915,0,-0.194689442,0.199986576,0,0.006743411,3,MA,-0.63369516,-1.482337132,0.072776115,0.267446337,0.69353679,0,0.013037575,-0.082579196,1978-MA-4,0,0.084680239,-0.878968468,2.071092835,0,0.12704106,1.003836653,-1.189324859,0
1,-0.851096364,0.02162639,0.005198863,1.248331083,5,0,0,-0.730927502,-0.485935127,0,1.501610184,0.023755093,0.132564269,13348,25,0.003805384,0.124337139,-0.383050383,0.000293074,481,-0.655558794,1.270642109,0,-0.825418148,0.076923077,0.2,0.018080067,0,-0.224245202,0.195825287,0,0.012579141,3,MA,-0.790604266,-1.219167291,0.107906325,0.267446337,0.502330151,0.376475732,0.013789127,-0.905567021,1978-MA-5,0,-0.47476415,0.224245406,-1.224178761,0,1.129288199,1.088362966,-0.124841949,0
1,-0.313924777,0.02162639,0.007826368,1.233154694,6,0,1,-0.908961383,-0.359640154,0,0.960271963,0.017023445,0.072077437,14421,25,0.003805384,0.119619874,-0.544716824,0.000293074,413,-0.217915729,1.081720078,0,-0.876445874,0,0,0.011792016,0,-0.2029562,0.199643997,0,0.006681096,3,MA,-0.771026914,-1.073027877,0.115065036,0.267446337,0.694393386,0,0.015255941,-0.176633105,1978-MA-6,0,-0.291520182,0.367830882,-1.117597594,0,0.479601257,1.232485294,-0.998541953,0
1,-0.469599521,0.02162639,0.009358213,0.959837822,7,1,1,-0.45188936,-0.224445789,0,0.93405381,0.00948868,0.121639898,22166,25,0.003805384,0.146581612,-0.318177379,0.000293074,97,-0.567269797,0.299631441,0,-0.835656195,0,0,0.016635667,0,0.271982722,0.200594829,0.117625077,0.000255476,3,MA,-0.621301893,-0.078168111,0.100405818,0.267446337,1.110213098,0,0.015854271,0.124288107,1978-MA-7,0,0.988944222,0.205585064,1.031233624,0,1.642872107,1.022429388,0.545786876,0
1,-0.139041969,0.02162639,0.0249486,0.423734216,8,1,1,-1.156921291,0.555240948,0,-0.757393296,0.002152289,0.109849074,26364,25,0.003805384,0.242561131,0.076955228,0.000293074,40,-0.051053749,-0.23889038,0,-0.924142172,0.076923077,0,0.01196766,0,1.148317601,0.19713408,0.117625077,0,3,MA,-0.280709923,-0.280215567,0.141526572,0.267446337,1.125064485,0,0.012316959,-0.147399428,1978-MA-8,0,-0.157947126,-0.420356745,0.32429877,0,0.811370325,0.412362441,0.3732527,0
1,-0.394618695,0.02162639,0.215883242,0.405803472,9,1,1,-0.949363087,-0.511381569,0,0.62233228,0.005653696,0.115423097,21804,25,0.003805384,0.187476154,-0.024284936,0.000293074,125,-0.239248716,-0.420967713,0,-0.938199173,0.076923077,0,0.009274277,0,0.130086003,0.196560784,0.117625077,0.00103547,3,MA,-0.354063778,-0.661172888,0.121569325,0.267446337,1.005728976,0.485789244,0.012068557,-0.57330056,1978-MA-9,0,-0.035353402,-0.791580371,1.513169807,0,-0.026870651,-0.150363663,0.032409496,0
1,-0.698390226,0.02162639,0.006240954,1.843858027,10,0,1,-0.482967594,-0.372452956,0,1.058744428,0.037414304,0.057975647,12394,25,0.003805384,0.134760137,-0.579374741,0.000293074,802,-0.57529607,1.419881979,0,-0.889202806,0.076923077,0,0.013509188,0,-0.273353047,0.20127859,0,0.018878523,3,MA,-0.373617512,-1.361357228,0.100303486,0.267446337,-0.001763962,0,0.013754689,-0.635003988,1978-MA-10,4,-0.160058536,0.121045599,-0.606700566,4,2.058063788,0.371149182,2.155892768,0
1,-0.388240053,0.02162639,0.024362015,1.01992674,11,1,1,-0.458770969,-0.305383138,0,0.995108236,0.006024544,0.109332039,20078,25,0.003805384,0.148646943,-0.004855226,0.000293074,130,0.179595974,0.001445025,0,-0.864420232,0,0,0.01158839,0,0.113728672,0.199509762,0.117625077,0.000438672,3,MA,-0.594802097,-0.358764013,0.100876163,0.267446337,1.070599919,0.368167906,0.014928946,0.477880499,1978-MA-11,0,0.672998155,-0.261806936,1.506660549,0,0.772885228,0.645344295,-0.008073714,0
