year,state,state_po,district,party,candidatevotes,totalvotes
1978,Alabama,AL,1,republican,71711,112161
1978,Alabama,AL,2,republican,57924,107265
1978,Alabama,AL,3,democrat,74895,74897
1978,Alabama,AL,4,democrat,87380,87381
1978,Alabama,AL,5,democrat,68985,71236
1978,Alabama,AL,6,republican,65700,106471
1978,Alabama,AL,7,democrat,77742,82868
1978,Arizona,AZ,1,republican,81108,114286
1978,Arizona,AZ,2,democrat,67878,129197
1978,Arizona,AZ,3,democrat,111850,131663
1978,Arizona,AZ,4,republican,90768,143836
1978,Arkansas,AR,1,democrat,1,1
1978,Arkansas,AR,2,republican,65285,127425
1978,Arkansas,AR,3,republican,130086,165834
1978,Arkansas,AR,4,democrat,1,1
1978,California,CA,1,democrat,125122,210812
1978,California,CA,2,republican,114451,220260
1978,California,CA,3,democrat,105537,197503
1978,California,CA,4,democrat,87764,158497
1978,California,CA,5,democrat,106046,158649
1978,California,CA,6,democrat,81801,119768
1978,California,CA,7,democrat,109676,172865
1978,California,CA,8,democrat,94824,165305
1978,California,CA,9,democrat,88179,134879
1978,California,CA,10,democrat,84488,125862
1978,California,CA,11,democrat,92882,153464
1978,California,CA,12,republican,116982,160085
1978,California,CA,13,democrat,100809,175361
1978,California,CA,14,republican,95962,179727
1978,California,CA,15,democrat,75212,125126
1978,California,CA,16,democrat,104550,170358
1978,California,CA,17,republican,81296,149181
1978,California,CA,18,republican,85663,144563
1978,California,CA,19,republican,123192,171751
1978,California,CA,20,republican,129714,195409
1978,California,CA,21,democrat,73869,124138
1978,California,CA,22,republican,99502,153944
1978,California,CA,23,democrat,117498,178994
1978,California,CA,24,democrat,85075,135771
1978,California,CA,25,democrat,45881,68086
1978,California,CA,26,republican,113059,113059
1978,California,CA,27,republican,89392,175272
1978,California,CA,28,democrat,97592,97592
1978,California,CA,29,democrat,65214,76726
1978,California,CA,30,democrat,66241,92752
1978,California,CA,31,democrat,55667,82157
1978,California,CA,32,democrat,74004,103609
1978,California,CA,33,republican,79533,142073
1978,California,CA,34,republican,90554,168572
1978,California,CA,35,democrat,80388,148830
1978,California,CA,36,democrat,80448,127865
1978,California,CA,37,republican,106581,173588
1978,California,CA,38,democrat,75471,128769
1978,California,CA,39,republican,112160,176051
1978,California,CA,40,republican,147882,224240
1978,California,CA,41,republican,107685,185225
1978,California,CA,42,democrat,85126,115445
1978,California,CA,43,republican,167150,243458
1978,Colorado,CO,1,democrat,82742,134630
1978,Colorado,CO,2,democrat,98889,186961
1978,Colorado,CO,3,democrat,69669,141442
1978,Colorado,CO,4,republican,103121,168542
1978,Colorado,CO,5,republican,91933,153780
1978,Connecticut,CT,1,democrat,102749,172564
1978,Connecticut,CT,2,democrat,116624,166814
1978,Connecticut,CT,3,democrat,96830,166587
1978,Connecticut,CT,4,republican,83990,143919
1978,Connecticut,CT,5,democrat,96738,184913
1978,Connecticut,CT,6,democrat,119537,186224
1978,Florida,FL,1,democrat,85608,135323
1978,Florida,FL,2,democrat,112649,137797
1978,Florida,FL,3,democrat,1,1
1978,Florida,FL,4,democrat,113302,154949
1978,Florida,FL,5,republican,106319,208186
1978,Florida,FL,6,republican,150694,191348
1978,Florida,FL,7,democrat,1,1
1978,Florida,FL,8,democrat,1,1
1978,Florida,FL,9,democrat,89543,145617
1978,Florida,FL,10,republican,1,1
1978,Florida,FL,11,democrat,123346,223103
1978,Florida,FL,12,democrat,107037,173647
1978,Florida,FL,13,democrat,1,1
1978,Florida,FL,14,democrat,65202,103283
1978,Florida,FL,15,democrat,108837,146734
1978,Georgia,GA,1,democrat,36961,36962
1978,Georgia,GA,2,democrat,42234,42236
1978,Georgia,GA,3,democrat,54881,54882
1978,Georgia,GA,4,democrat,60284,74513
1978,Georgia,GA,5,democrat,52739,69875
1978,Georgia,GA,6,republican,47078,86540
1978,Georgia,GA,7,democrat,47090,70826
1978,Georgia,GA,8,democrat,41184,41193
1978,Georgia,GA,9,democrat,47264,61437
1978,Georgia,GA,10,democrat,50122,50130
1978,Hawaii,HI,1,democrat,84552,115412
1978,Hawaii,HI,2,democrat,118272,137957
1978,Idaho,ID,1,republican,86680,144652
1978,Idaho,ID,2,republican,80591,140631
1978,Illinois,IL,1,democrat,47581,81279
1978,Illinois,IL,2,democrat,80906,94077
1978,Illinois,IL,3,democrat,95701,146800
1978,Illinois,IL,4,republican,94435,141229
1978,Illinois,IL,5,democrat,98702,117506
1978,Illinois,IL,6,republican,87193,131737
1978,Illinois,IL,7,democrat,64716,74989
1978,Illinois,IL,8,democrat,81457,94762
1978,Illinois,IL,9,democrat,87543,116217
1978,Illinois,IL,10,democrat,89479,178309
1978,Illinois,IL,11,democrat,112365,152412
1978,Illinois,IL,12,republican,110503,138935
1978,Illinois,IL,13,republican,64060,104738
1978,Illinois,IL,14,republican,118741,158179
1978,Illinois,IL,15,republican,80856,129612
1978,Illinois,IL,16,republican,76752,117309
1978,Illinois,IL,17,republican,94375,133635
1978,Illinois,IL,18,republican,85973,130514
1978,Illinois,IL,19,republican,89770,89790
1978,Illinois,IL,20,republican,111054,159480
1978,Illinois,IL,21,republican,97473,124527
1978,Illinois,IL,22,republican,86051,159383
1978,Illinois,IL,23,democrat,74247,100105
1978,Illinois,IL,24,democrat,110298,168061
1978,Indiana,IN,1,democrat,72367,90170
1978,Indiana,IN,2,democrat,82402,145778
1978,Indiana,IN,3,democrat,64336,115862
1978,Indiana,IN,4,republican,80527,125117
1978,Indiana,IN,5,republican,94950,140429
1978,Indiana,IN,6,democrat,66421,127282
1978,Indiana,IN,7,republican,86955,154424
1978,Indiana,IN,8,republican,83019,159673
1978,Indiana,IN,9,democrat,99727,151945
1978,Indiana,IN,10,democrat,73343,130742
1978,Indiana,IN,11,democrat,61504,107441
1978,Iowa,IA,1,republican,79940,125955
1978,Iowa,IA,2,republican,72644,138978
1978,Iowa,IA,3,republican,103659,138539
1978,Iowa,IA,4,democrat,88526,136834
1978,Iowa,IA,5,democrat,82333,139710
1978,Iowa,IA,6,democrat,87139,131459
1978,Kansas,KS,1,republican,131037,131037
1978,Kansas,KS,2,republican,76419,146879
1978,Kansas,KS,3,republican,103265,103265
1978,Kansas,KS,4,democrat,100139,143993
1978,Kansas,KS,5,republican,86011,150766
1978,Kentucky,KY,1,democrat,44090,44097
1978,Kentucky,KY,2,democrat,36441,36459
1978,Kentucky,KY,3,democrat,37346,56871
1978,Kentucky,KY,4,republican,62087,94299
1978,Kentucky,KY,5,republican,59743,75458
1978,Kentucky,KY,6,republican,52092,102857
1978,Kentucky,KY,7,democrat,51559,67420
1978,Louisiana,LA,1,republican,1,1
1978,Louisiana,LA,2,democrat,1,1
