STATE,SC,CD,DC,UNION,INTRLAND,VABEDS,COAST,PORT,CITY,LANDSQMI,POPULATN,POPSQMI,BLACK,BLUCLLR,CONSTRCT,EMPLYD,ENROLL,FARMER,FORBORN,GVTWRKR,MANUF,RURLFARM,TRANSPRT,UNEMPLYD,URBAN,VETERANS,WHLRETL
CT,1,0,0,12,0,0,0,,0,4899,1709242,348.8961012,32992,341603,33285,680490,308389,24125,372,21548,295707,95625,32980,89513,1158162,47842,85623
CT,1,1,0,12,0,387,1,,1,741,450189,607.5425101,9129,85977,7452,183760,82094,5863,98,6214,77363,19542,6711,20771,322598,,26119
CT,1,2,0,12,0,0,1,,0,1978,269312,136.1536906,2617,51124,5808,99593,47144,8426,61,4715,40119,39282,4612,15255,124360,,10156
CT,1,3,0,12,0,0,1,,0,404,329334.88,815.1853465,7286.88,67721.2,5704.52,131401.16,60438.4,2445.96,64.6,3823.64,59770.64,8253.84,8729.16,18935.28,262305.92,,17606.56
CT,1,4,0,12,0,0,0,,0,633,418384,660.9541864,9881,86462,9523,169039,74852,2884,108,4287,74369,11647,7667,22066,290798,,20678
CT,1,5,0,12,0,0,0,,0,1144,242022.12,211.5577972,4078.12,50318.8,4797.48,96696.84,43860.6,4506.04,40.4,2508.36,44085.36,16900.16,5260.84,12485.72,158100.08,,11063.44
CT,1,99,0,12,0,0,1,,0,4899,1709242,348.8961012,32992,341603,33285,680490,308389,24125,372,21548,295707,95625,32980,89513,1158162,,85623
ME,2,0,0,7.6,28325,0,0,,0,31040,847226,27.29465206,1304,126532,,279036,172010,35818,95,,,165450,,51385,343057,23224,35399
ME,2,1,0,7.6,28325,0,1,6847619,0,4223,290335,68.75088799,786,50648,4470,104709,55617,7145,36,5224,38754,34520,6757,14811,154617,,15023
ME,2,2,0,7.6,28325,924,1,,0,8561,276695,32.32040649,198,46599,4062,96208,52995,12698,25,3432,36473,59953,4688,15918,123853,,10429
ME,2,3,0,7.6,28325,0,1,,0,18256,280196,15.34815951,320,29285,3518,78119,63398,15975,34,2675,16415,70977,5745,20656,64587,,9947
MA,3,0,0,16.2,13,0,0,,0,7907,4316721,545.9366384,55391,703598,,1534787,782226,32290,2115,,,94033,,309473,3859476,147286,262467
MA,3,1,0,16.2,13,0,0,,0,2614,269343.57,103.0388562,2061.14,48826.72,3935.37,98918.7,48426.17,5319.55,45.55,2886.12,42442.36,18307.56,5453.46,16856.08,213859.34,,13142.58
MA,3,2,0,16.2,13,1137,0,,0,419,304875.22,727.6258234,2868.95,52557.75,4507.91,111372.42,54638.74,3589.69,66.28,3907.16,44904.35,11931.85,6272,21955.83,271080.41,,16595.88
MA,3,3,0,16.2,13,0,0,,0,796,258630.3,324.9124372,1010.43,49884.27,3313.71,92915.22,46381.5,2753.97,58.68,2707.8,45959.19,10303.65,4263.24,15962.91,207474.93,,12323.88
MA,3,4,0,16.2,13,1000,0,,1,462,324526,702.4372294,1689.86,58642.64,4566.89,115472.25,59115.46,2856.99,83.12,3896.65,52089.66,9999.4,6248.27,20211.4,269544.53,,14901.97
MA,3,5,0,16.2,13,1875,0,,0,395,330484.96,836.6707848,3064.67,47832.31,5883.39,114965.81,62402.8,1711.61,108.91,5420.05,35986.43,3385.99,8871.1,21602.97,303606.4,,13798.39
MA,3,6,0,16.2,13,0,1,,0,313,253119.63,808.6889137,874.14,49794.87,3479.22,92533.38,44426.1,1428,59.16,3091.62,43848.78,2217.99,4326.33,19493.73,238442.34,,12237.96
MA,3,7,0,16.2,13,0,1,,0,136,298445.61,2194.453015,3346.48,52406.5,4333.39,107490.23,53045.05,1172.97,80.23,4547.26,42783.23,1783.09,6466.62,24040.45,286646.22,,21353.16
MA,3,8,0,16.2,13,0,1,,0,83,340411.22,4101.34,3098.95,49785.05,6019.83,118594.57,64145,1767.61,111.23,5541.29,37705.99,3472.97,9040.76,22367.43,312957.08,,14278.31
MA,3,9,0,16.2,13,0,1,,0,3634,297644.57,81.90549532,7510.92,54049.54,6008.85,103891.07,51993.2,4798.64,455.64,4187.95,41479.99,16274.51,5460.58,22664.76,221911.86,,13904.03
MA,3,10,0,16.2,13,0,1,15812755,1,144,316402.76,2197.241389,6185.62,42069.18,5302.04,110690.95,58041.8,704.95,108.13,6159.89,28587.72,1356.11,9242.07,24139.85,303310.18,,28248.97
MA,3,11,0,16.2,13,0,1,15812755,1,94,345336.96,3673.797447,6756.76,46995.3,5859.14,120182.9,64071.1,852.66,117.02,6692.8,31678.74,1599.52,10196.06,26841.56,332584,,29487.04
MA,3,12,0,16.2,13,0,1,15812755,1,11,189914.56,17264.96,5287.48,24750.66,3072.74,66201.3,34659.9,49.94,65.34,4123.68,15064.5,0,5977.18,16738.04,189914.56,,23029.6
MA,3,13,0,16.2,13,0,1,15812755,1,741,447238.08,603.5601619,7236.09,59263.04,7589.57,157765.25,79694.95,2285.04,152.89,8048.57,43593.65,6156.29,11832.47,30282.22,404334.5,,33938.21
