year,state,state_po,district,party,candidatevotes,totalvotes
1978,Alabama,AL,1,4,71711,112161
1978,Alabama,AL,2,4,57924,107265
1978,Alabama,AL,3,0,74895,74897
1978,Alabama,AL,4,0,87380,87381
1978,Alabama,AL,5,0,68985,71236
1978,Alabama,AL,6,4,65700,106471
1978,Alabama,AL,7,0,77742,82868
1978,Arizona,AZ,1,4,81108,114286
1978,Arizona,AZ,2,0,67878,129197
1978,Arizona,AZ,3,0,111850,131663
1978,Arizona,AZ,4,4,90768,143836
1978,Arkansas,AR,1,0,1,1
1978,Arkansas,AR,2,4,65285,127425
1978,Arkansas,AR,3,4,130086,165834
1978,Arkansas,AR,4,0,1,1
1978,California,CA,1,0,125122,210812
1978,California,CA,2,4,114451,220260
1978,California,CA,3,0,105537,197503
1978,California,CA,4,0,87764,158497
1978,California,CA,5,0,106046,158649
1978,California,CA,6,0,81801,119768
1978,California,CA,7,0,109676,172865
1978,California,CA,8,0,94824,165305
1978,California,CA,9,0,88179,134879
1978,California,CA,10,0,84488,125862
1978,California,CA,11,0,92882,153464
1978,California,CA,12,4,116982,160085
1978,California,CA,13,0,100809,175361
1978,California,CA,14,4,95962,179727
1978,California,CA,15,0,75212,125126
1978,California,CA,16,0,104550,170358
1978,California,CA,17,4,81296,149181
1978,California,CA,18,4,85663,144563
1978,California,CA,19,4,123192,171751
1978,California,CA,20,4,129714,195409
1978,California,CA,21,0,73869,124138
1978,California,CA,22,4,99502,153944
1978,California,CA,23,0,117498,178994
1978,California,CA,24,0,85075,135771
1978,California,CA,25,0,45881,68086
1978,California,CA,26,4,113059,113059
1978,California,CA,27,4,89392,175272
1978,California,CA,28,0,97592,97592
1978,California,CA,29,0,65214,76726
1978,California,CA,30,0,66241,92752
1978,California,CA,31,0,55667,82157
1978,California,CA,32,0,74004,103609
1978,California,CA,33,4,79533,142073
1978,California,CA,34,4,90554,168572
1978,California,CA,35,0,80388,148830
1978,California,CA,36,0,80448,127865
1978,California,CA,37,4,106581,173588
1978,California,CA,38,0,75471,128769
1978,California,CA,39,4,112160,176051
1978,California,CA,40,4,147882,224240
1978,California,CA,41,4,107685,185225
1978,California,CA,42,0,85126,115445
1978,California,CA,43,4,167150,243458
1978,Colorado,CO,1,0,82742,134630
1978,Colorado,CO,2,0,98889,186961
1978,Colorado,CO,3,0,69669,141442
1978,Colorado,CO,4,4,103121,168542
1978,Colorado,CO,5,4,91933,153780
1978,Connecticut,CT,1,0,102749,172564
1978,Connecticut,CT,2,0,116624,166814
1978,Connecticut,CT,3,0,96830,166587
1978,Connecticut,CT,4,4,83990,143919
1978,Connecticut,CT,5,0,96738,184913
1978,Connecticut,CT,6,0,119537,186224
1978,Florida,FL,1,0,85608,135323
1978,Florida,FL,2,0,112649,137797
1978,Florida,FL,3,0,1,1
1978,Florida,FL,4,0,113302,154949
1978,Florida,FL,5,4,106319,208186
1978,Florida,FL,6,4,150694,191348
1978,Florida,FL,7,0,1,1
1978,Florida,FL,8,0,1,1
1978,Florida,FL,9,0,89543,145617
1978,Florida,FL,10,4,1,1
1978,Florida,FL,11,0,123346,223103
1978,Florida,FL,12,0,107037,173647
1978,Florida,FL,13,0,1,1
1978,Florida,FL,14,0,65202,103283
1978,Florida,FL,15,0,108837,146734
1978,Georgia,GA,1,0,36961,36962
1978,Georgia,GA,2,0,42234,42236
1978,Georgia,GA,3,0,54881,54882
1978,Georgia,GA,4,0,60284,74513
1978,Georgia,GA,5,0,52739,69875
1978,Georgia,GA,6,4,47078,86540
1978,Georgia,GA,7,0,47090,70826
1978,Georgia,GA,8,0,41184,41193
1978,Georgia,GA,9,0,47264,61437
1978,Georgia,GA,10,0,50122,50130
1978,Hawaii,HI,1,0,84552,115412
1978,Hawaii,HI,2,0,118272,137957
1978,Idaho,ID,1,4,86680,144652
1978,Idaho,ID,2,4,80591,140631
1978,Illinois,IL,1,0,47581,81279
1978,Illinois,IL,2,0,80906,94077
1978,Illinois,IL,3,0,95701,146800
1978,Illinois,IL,4,4,94435,141229
