ID,year,state,state_po,district,party,candidatevotes,totalvotes
AL-1-1978,1978,Alabama,AL,1,republican,71711,112161
AL-2-1978,1978,Alabama,AL,2,republican,57924,107265
AL-3-1978,1978,Alabama,AL,3,democrat,74895,74897
AL-4-1978,1978,Alabama,AL,4,democrat,87380,87381
AL-5-1978,1978,Alabama,AL,5,democrat,68985,71236
AL-6-1978,1978,Alabama,AL,6,republican,65700,106471
AL-7-1978,1978,Alabama,AL,7,democrat,77742,82868
AZ-1-1978,1978,Arizona,AZ,1,republican,81108,114286
AZ-2-1978,1978,Arizona,AZ,2,democrat,67878,129197
AZ-3-1978,1978,Arizona,AZ,3,democrat,111850,131663
AZ-4-1978,1978,Arizona,AZ,4,republican,90768,143836
AR-1-1978,1978,Arkansas,AR,1,democrat,1,1
AR-2-1978,1978,Arkansas,AR,2,republican,65285,127425
AR-3-1978,1978,Arkansas,AR,3,republican,130086,165834
AR-4-1978,1978,Arkansas,AR,4,democrat,1,1
CA-1-1978,1978,California,CA,1,democrat,125122,210812
CA-2-1978,1978,California,CA,2,republican,114451,220260
CA-3-1978,1978,California,CA,3,democrat,105537,197503
CA-4-1978,1978,California,CA,4,democrat,87764,158497
CA-5-1978,1978,California,CA,5,democrat,106046,158649
CA-6-1978,1978,California,CA,6,democrat,81801,119768
CA-7-1978,1978,California,CA,7,democrat,109676,172865
CA-8-1978,1978,California,CA,8,democrat,94824,165305
CA-9-1978,1978,California,CA,9,democrat,88179,134879
CA-10-1978,1978,California,CA,10,democrat,84488,125862
CA-11-1978,1978,California,CA,11,democrat,92882,153464
CA-12-1978,1978,California,CA,12,republican,116982,160085
CA-13-1978,1978,California,CA,13,democrat,100809,175361
CA-14-1978,1978,California,CA,14,republican,95962,179727
CA-15-1978,1978,California,CA,15,democrat,75212,125126
CA-16-1978,1978,California,CA,16,democrat,104550,170358
CA-17-1978,1978,California,CA,17,republican,81296,149181
CA-18-1978,1978,California,CA,18,republican,85663,144563
CA-19-1978,1978,California,CA,19,republican,123192,171751
CA-20-1978,1978,California,CA,20,republican,129714,195409
CA-21-1978,1978,California,CA,21,democrat,73869,124138
CA-22-1978,1978,California,CA,22,republican,99502,153944
CA-23-1978,1978,California,CA,23,democrat,117498,178994
CA-24-1978,1978,California,CA,24,democrat,85075,135771
CA-25-1978,1978,California,CA,25,democrat,45881,68086
CA-26-1978,1978,California,CA,26,republican,113059,113059
CA-27-1978,1978,California,CA,27,republican,89392,175272
CA-28-1978,1978,California,CA,28,democrat,97592,97592
CA-29-1978,1978,California,CA,29,democrat,65214,76726
CA-30-1978,1978,California,CA,30,democrat,66241,92752
CA-31-1978,1978,California,CA,31,democrat,55667,82157
CA-32-1978,1978,California,CA,32,democrat,74004,103609
CA-33-1978,1978,California,CA,33,republican,79533,142073
CA-34-1978,1978,California,CA,34,republican,90554,168572
CA-35-1978,1978,California,CA,35,democrat,80388,148830
CA-36-1978,1978,California,CA,36,democrat,80448,127865
CA-37-1978,1978,California,CA,37,republican,106581,173588
CA-38-1978,1978,California,CA,38,democrat,75471,128769
CA-39-1978,1978,California,CA,39,republican,112160,176051
CA-40-1978,1978,California,CA,40,republican,147882,224240
CA-41-1978,1978,California,CA,41,republican,107685,185225
CA-42-1978,1978,California,CA,42,democrat,85126,115445
CA-43-1978,1978,California,CA,43,republican,167150,243458
CO-1-1978,1978,Colorado,CO,1,democrat,82742,134630
CO-2-1978,1978,Colorado,CO,2,democrat,98889,186961
CO-3-1978,1978,Colorado,CO,3,democrat,69669,141442
CO-4-1978,1978,Colorado,CO,4,republican,103121,168542
CO-5-1978,1978,Colorado,CO,5,republican,91933,153780
CT-1-1978,1978,Connecticut,CT,1,democrat,102749,172564
CT-2-1978,1978,Connecticut,CT,2,democrat,116624,166814
