ID,YEAR,STATE,FIPSTATE,SC,CD,REDIST,ACEREGIO,AGE65,BANK,BLACK,BLUCLLR,CITY,COAST,CONSTRUC,CVLLBRFR,DC,ENROLL,FARMER,FEDWRKR,FINANCE,FLOOD,FORBORN,GVTWRKR,INTRLAND,LANDSQMI,LOCLWRKR,MANUF,MARINE,MDNINCM,MILTINST,MILTMAJR,MILTPOP,NUCPLANT,POPSQMI,POPULATN,PORT,RURLFARM,STATWRKR,TRANSPRT,UNEMPLYD,UNION,URBAN,VABEDS,VETERANS,WHLRETL
CT-0-1976,1976,CT,9,1,0, ,,290116,8705,181504,453832,0,0, , ,0,708557,8144,28760,115582,,261658,164226,0,,92416,435944,0,,0,0,15575,,,3032217,0,14951,43050,26536,45534,27.5,2343971,,462000,232200
CT-1-1976,1976,CT,9,1,1, ,1,52703,8705,51569,68504,0,0, , ,0,113096,1246,5413,35710,1.40810656,53868,31359,0,382,16644,60863,0,12031,0,0,378,,1323.08377,505418,0,1208,9302,3270,6768,27.5,455763,178,61883,42454
CT-2-1976,1976,CT,9,1,2, ,1,44350,8705,11501,75347,0,0, , ,0,118544,2573,6626,10978,1.40810656,30646,34611,0,1834,13087,69385,1,10885,3,1,14119,1,275.6232279,505493,0,6757,14898,3614,7530,27.5,238894,723,57185,33055
CT-3-1976,1976,CT,9,1,3, ,1,50047,8705,44429,75438,0,1, , ,0,114054,886,6030,16392,1.40810656,37599,27784,0,382,16806,65583,0,11463,0,0,248,,1322.756545,505293,0,1008,4948,6879,7542,27.5,450665,0,62475,41978
CT-4-1976,1976,CT,9,1,4, ,1,50841,8705,50201,70109,0,1, , ,0,114691,501,4434,21367,1.40810656,56064,23187,0,188,16255,72607,0,12692,0,0,290,,2688.117021,505366,0,150,2498,4628,7209,27.5,486724,0,61641,42188
CT-5-1976,1976,CT,9,1,5, ,1,47411,8705,18561,80215,0,1, , ,0,124275,939,3210,13627,1.40810656,43041,23234,0,585,14990,83454,0,12200,0,0,222,,863.7880342,505316,0,1101,5034,4188,8242,27.5,393569,0,61394,35920
CT-6-1976,1976,CT,9,1,6, ,1,45079,8705,7094,83586,0,0, , ,0,123461,1968,3142,18225,1.40810656,40973,24342,0,1491,14713,83123,0,11898,0,0,328,,338.9208585,505331,0,4589,6487,3931,8186,27.5,323781,0,62622,36838
ME-0-1976,1976,ME,23,2,0, ,,114592,2283,2816,161432,0,0, , ,0,234161,10104,14198,20208,,43014,55694,34400,,25430,115539,0,,0,0,10478,,,993663,0,22840,16066,11384,15864,22,506107,,140000,71331
ME-1-1976,1976,ME,23,2,1, ,1,59641,2283,1168,78776,0,1, , ,0,113678,3637,8799,12187,1.40810656,19463,30195,34400,4569,12577,55302,1,8688,1,0,5228,1,108.4878529,495681,27565807,8399,8819,5961,6794,22,272281,744,60077,38478
ME-2-1976,1976,ME,23,2,2, ,1,54951,2283,1648,82656,0,1, , ,0,120483,6467,5399,8021,1.40810656,23551,25499,34400,26351,12853,60237,0,7733,1,1,5250,,18.89803044,497982,0,14441,7247,5423,9070,22,233826,0,52890,32853
MA-0-1976,1976,MA,25,3,0, ,,636724,18524,173697,786758,0,0, , ,0,1295957,11364,80345,202382,,494660,341167,27131,,189691,670479,0,,0,0,28251,,,5689170,0,18831,71131,63469,91250,27.2,4810296,,870000,462896
MA-1-1976,1976,MA,25,3,1, ,1,53025,18524,4218,67599,0,0, , ,0,105306,2668,4511,10888,1.40810656,26302,30844,27131,2473,14997,61713,0,10311,1,0,1132,1,189.8253134,469438,0,6033,11336,3782,8069,27.2,337147,709,58466,32631
MA-2-1976,1976,MA,25,3,2, ,1,50551,18524,22316,78333,0,0, , ,0,113166,1223,4672,14405,1.40810656,33634,23028,27131,1233,14472,71121,0,10268,1,1,5057,,383.0251419,472270,0,2418,3884,4045,7830,27.2,357330,0,57696,37098
MA-3-1976,1976,MA,25,3,3, ,1,51567,18524,4419,71496,0,0, , ,0,111930,997,3664,13736,1.40810656,34512,25155,27131,543,15255,65805,0,10863,0,0,403,,864.5359116,469443,0,1979,6236,4432,7243,27.2,356755,0,58193,37325
MA-4-1976,1976,MA,25,3,4, ,1,52591,18524,5476,52757,0,0, , ,0,103945,727,5642,18526,1.40810656,50260,27630,27131,391,16683,53200,0,12409,1,1,10120,,1217.723785,476130,0,923,5305,3627,6326,27.2,421699,0,55167,40894
MA-5-1976,1976,MA,25,3,5, ,1,43683,18524,2491,67929,0,0, , ,0,121522,1006,9725,13348,1.40810656,35041,28427,27131,481,14312,66960,0,11532,1,1,1431,,983.6881497,473154,0,1711,4390,4450,7462,27.2,395096,861,56584,34166
MA-6-1976,1976,MA,25,3,6, ,1,56743,18524,3656,68042,0,1, , ,0,111135,745,6148,14421,1.40810656,33933,27058,27131,413,16384,63952,0,10904,0,0,951,,1152.263923,475885,0,914,4526,4948,7746,27.2,421590,0,60369,40129
MA-7-1976,1976,MA,25,3,7, ,1,53107,18524,4333,63106,1,1, , ,0,110756,447,9138,22166,1.40810656,41481,29248,27131,97,14730,49971,0,11406,0,0,1329,,4913.041237,476565,24719452,35,5380,8175,7263,27.2,474690,0,61868,42570
MA-8-1976,1976,MA,25,3,8, ,1,60683,18524,11112,52957,1,1, , ,0,75665,155,8385,26364,1.40810656,67824,32829,27131,40,17174,40072,0,10317,1,0,961,,11852.25,474090,24719452,0,7270,7482,8604,27.2,474090,0,53238,40208
MA-9-1976,1976,MA,25,3,9, ,1,54565,18524,94328,52583,1,1, , ,0,103730,293,8711,21804,1.40810656,52536,31845,27131,125,16283,36781,0,10144,1,0,752,,3789.44,473680,24719452,141,6851,6250,7928,27.2,458705,1111,52609,36820
MA-10-1976,1976,MA,25,3,10, ,1,47693,18524,2969,79467,0,1, , ,0,113430,1557,5314,12394,1.40810656,38232,26795,27131,802,14692,70200,0,10747,1,0,1087,,594.8304239,477054,0,2589,6789,4026,7267,27.2,334645,0,56969,36593
MA-11-1976,1976,MA,25,3,11, ,1,54960,18524,10895,64108,1,1, , ,0,111826,309,8384,20078,1.40810656,41987,32171,27131,130,18266,44533,0,11052,0,0,935,,3659.915385,475789,24719452,60,5521,7255,7267,27.2,468924,842,59586,45297
MA-12-1976,1976,MA,25,3,12, ,1,57556,18524,7718,68346,0,1, , ,0,113516,1237,6052,14258,1.40810656,38953,26133,27131,1098,16436,46155,1,10132,1,1,4093,1,433.2167577,475672,0,2028,3645,4992,8245,27.2,309624,0,58223,39141
NH-0-1976,1976,NH,33,4,0, ,,78446,1902,2667,123962,0,0, , ,0,168016,3620,11566,17883,,37048,41668,83,,18752,104548,0,,0,0,4059,,,737681,0,9073,11350,6016,10589,21.2,416691,,118000,54433
NH-1-1976,1976,NH,33,4,1, ,1,38773,1902,1641,61186,0,1, , ,0,84465,1452,8002,9081,1.40810656,19134,23388,83,2749,9603,49656,0,9631,3,1,3769,1,133.5303747,367075,0,3412,5783,3177,5871,21.2,216052,150,44832,28027
NH-2-1976,1976,NH,33,4,2, ,1,39673,1902,1026,62776,0,0, , ,0,83551,2168,3564,8802,1.40810656,17914,18280,83,6278,9149,54892,0,9736,0,0,290,,59.03249442,370606,0,5661,5567,2839,4718,21.2,200639,0,45070,26406
RI-0-1976,1976,RI,44,5,0, ,,104460,3852,25242,157677,0,0, , ,0,206246,1581,16540,25476,,74443,58099,0,,25400,130858,0,0,0,0,30612,,,949723,0,2361,16159,8074,15713,27.9,826044,,147000,70680
RI-1-1976,1976,RI,44,5,1, ,1,51926,3852,11964,79350,0,1, , ,0,102710,801,7620,12662,1.40810656,43592,25108,0,278,12080,67240,0,9713,4,0,20483,,1710.219424,475441,0,887,5408,4058,7463,27.9,426633,0,57401,35316
RI-2-1976,1976,RI,44,5,2, ,1,52534,3852,13280,78325,0,1, , ,0,103538,780,8922,12814,1.40810656,30835,33002,0,771,13322,63613,0,9755,1,0,10116,1,615.151751,474282,0,1475,10758,4017,8251,27.9,399377,351,60242,35365
VT-0-1976,1976,VT,50,6,0, ,,47483,1521,685,57577,0,0, , ,0,105969,8913,4654,9866,,18499,25410,0,,12693,40129,0,,0,0,361,,,444732,0,26451,8063,4451,7240,21,143001,,61000,30388
VT-1-1976,1976,VT,50,6,1, ,1,47483,1521,685,57577,0,0, , ,0,105969,8913,4654,9866,1.40810656,18499,25410,0,9267,12693,40129,0,8928,0,0,361,1,47.99093558,444732,0,26451,8063,4451,7240,21,143001,194,48248,30388
DE-0-1976,1976,DE,10,11,0, ,,43616,2453,78305,72629,0,0, , ,0,135462,4405,6159,16889,,15648,32300,0,,9448,62586,0,,0,0,6489,,,548104,0,11360,16693,7073,8228,25.8,395160,336,79000,40514
DE-1-1976,1976,DE,10,11,1, ,2,43616,2453,78305,72629,0,1, , ,0,135462,4405,6159,16889,2.32414784,15648,32300,0,1982,9448,62586,0,10209,1,1,6489,1,276.5408678,548104,0,11360,16693,7073,8228,25.8,395160,0,62590,40514
NJ-0-1976,1976,NJ,34,12,0, ,,699024,25333,769245,1030661,0,0, , ,0,1642643,15595,97204,284438,,634818,395287,17109,,231238,915051,0,,0,0,50449,,,7168164,0,32432,66845,117845,113594,31.2,6373264,,1090000,548433
NJ-1-1976,1976,NJ,34,12,1, ,2,40932,25333,59981,75731,0,0, , ,0,116345,1786,9049,16036,2.32414784,16561,26406,17109,508,13631,57233,0,10314,0,0,1418,,940.9488189,478002,27132019,4019,3726,7695,7945,31.2,410179,0,57945,36550
NJ-2-1976,1976,NJ,34,12,2, ,2,69652,25333,62752,70442,0,1, , ,0,104790,3351,5943,12688,2.32414784,26103,27879,17109,2375,16640,45461,0,9039,3,1,3372,1,201.3162105,478126,0,6891,5296,5659,10053,31.2,311474,0,55439,36220
NJ-3-1976,1976,NJ,34,12,3, ,2,52793,25333,39225,50944,0,1, , ,0,114789,1046,12150,16307,2.32414784,30659,29420,17109,447,13777,35444,0,11291,1,1,9893,,1063.979866,475599,0,2508,3493,7023,7461,31.2,389939,0,55708,34702
NJ-4-1976,1976,NJ,34,12,4, ,2,36440,25333,61981,67831,0,0, , ,0,109520,1333,6177,13753,2.32414784,29573,32740,17109,449,14258,58555,0,11086,3,2,27531,,1064.688196,478045,0,2648,12305,6070,6751,31.2,417983,0,54291,30284
