Feature,Mean accuracy,S.D. accuracy,Mean TP,S.D. TP,Mean FN,S.D. FN,Mean FP,S.D. FP,Mean TN,S.D. TN,Mean precision,S.D. precision,Mean recall,S.D. recall,Mean f1,S.D. f1,Mean auc,S.D. auc
ACEREGIO,0.8594420600858369,0.006069586104605524,778,3.4641016151377544,59,7.745966692414834,71,2.0,22,2.0,0.9158887947691575,0.0019359006056701303,0.9290201997906684,0.008922473513986008,0.9223919338598408,0.003416237339559982,0.5840580776907347,0.010349120343399644
AGE65,0.8567596566523605,0.0007586982630756709,779,0.0,60,6.324555320336759,73,5.656854249492381,19,1.4142135623730951,0.9143873220831544,0.006138525646590723,0.928005527406725,0.006970099086776622,0.9211227995701948,0.0003189264232033565,0.5672732933869743,0.003233678487154189
BANK,0.8658798283261802,0.007586982630756944,782,14.142135623730951,54,9.16515138991168,70,16.24807680927192,25,7.0710678118654755,0.91732553243601,0.0188716445012952,0.9349755525691248,0.009175222523159398,0.9259595806619886,0.005116460799135421,0.5977432012393544,0.009782224821381347
BLACK,0.8723175965665236,0.009104379156908364,788,11.313708498984761,55,2.0,63,6.324555320336759,25,2.8284271247461903,0.9254027364007502,0.00790745583948545,0.9341851149061775,0.003232147378478691,0.9297701819574127,0.005592024180428782,0.6082671402515483,0.0002998929026919071
BLUCLLR,0.8648068669527897,0.012139172209211126,785,14.832396974191326,64,7.745966692414834,61,3.4641016151377544,20,3.4641016151377544,0.9273564324000306,0.005144512460549112,0.9240769576801966,0.009782390086798182,0.925710852745482,0.007471713525977039,0.5865719913046452,0.005928098145378521
CITY,0.8664163090128756,0.005310887841529853,785,8.48528137423857,60,6.324555320336759,64,11.313708498984761,22,3.4641016151377544,0.9246389760223752,0.013074859051375521,0.9284997761486373,0.006271125812778429,0.9265147889879628,0.0034423721544444385,0.5944723514492508,0.0012172048456552428
COAST,0.8701716738197425,0.010621775683059706,786,10.583005244258363,48,2.0,72,7.745966692414834,24,0.0,0.9155841691772477,0.009332873828532118,0.9419002594705309,0.0031309137601466534,0.9285503203962124,0.006321048278627401,0.5975638073198168,0.008996377390782214
CONSTRCT,0.8696351931330473,0.012897870472286875,790,12.0,52,2.8284271247461903,69,14.832396974191326,20,0.0,0.9192140033207319,0.017000866396058405,0.9382989336279195,0.002269689060587851,0.9286076550302681,0.007564763272523291,0.5824406060544661,0.017661664843019346
CVLLBFRC,0.8792918454935623,0.014415266998438217,797,14.142135623730951,48,15.556349186104045,64,2.0,22,0.0,0.925140489185365,0.0010491537849017915,0.943210592361041,0.018314836491860238,0.9340388429797475,0.008446822181334218,0.6009657612967996,0.0029907893402335117
DC,0.8707081545064377,0.01593266352458956,784,21.213203435596427,57,9.16515138991168,63,5.656854249492381,27,6.324555320336759,0.9255459452827874,0.008046148197160137,0.9315846338535414,0.011901124936657086,0.9285535379274636,0.009961227859061427,0.6167223489543637,0.009161906925101632
ENROLL,0.877145922746781,0.005310887841529853,800,0.0,67,9.16515138991168,47,4.242640687119285,17,4.242640687119285,0.9445564459988527,0.004682252620729515,0.9222830732637102,0.009830573922265684,0.9332584420853476,0.0027477589200605884,0.5929149356466333,0.020590067824874023
FARMER,0.8642703862660944,0.0007586982630757494,787,4.898979485566356,61,8.48528137423857,65,9.16515138991168,18,4.242640687119285,0.9232380428807037,0.010394741797101835,0.9281785953418851,0.008863121663105187,0.9256516272547028,0.0008172470656393372,0.571216586249844,0.012599969594169636
FEDWRKR,0.8631974248927039,0.022002249629195163,779,23.323807579381203,61,14.142135623730951,66,6.324555320336759,25,2.8284271247461903,0.9213035166272576,0.0091010456735704,0.927327795378809,0.017620662387530562,0.9242962228457703,0.01333337139598931,0.6001885075333422,0.007070152440545031
FINANCE,0.8787553648068669,0.007586982630756944,797,11.313708498984761,53,6.324555320336759,59,0.0,22,4.242640687119285,0.9305207924355451,0.0016859837285357726,0.9370729866258928,0.007848834633527887,0.9337803665956466,0.0047458720281659305,0.6029633409750883,0.013939894274299001
FIPSTATE,0.8599785407725322,0.005310887841529853,781,2.8284271247461903,68,4.898979485566356,62,0.0,20,7.745966692414834,0.9264527295625805,0.0002467652368401538,0.9193876278373658,0.005088558402901441,0.9229027753534649,0.0024413636117768646,0.582258748983618,0.038129198384539924
FLOOD,0.8669527896995708,0.006069586104605524,786,4.242640687119285,60,4.898979485566356,63,10.583005244258363,22,1.4142135623730951,0.9252948186743899,0.011926051624546484,0.9285567744096466,0.00507148683709832,0.9268839095372985,0.0034573453909271757,0.5941284147227099,0.01969511782266246
FORBORN,0.8701716738197425,0.0015173965261513417,782,3.4641016151377544,60,0.0,61,1.4142135623730951,28,2.0,0.9276799392823512,0.0018584796424669927,0.9287827557058326,0.00029886169957161666,0.9282306918362895,0.0010795979111756337,0.6234993238799029,0.005416252210528115
GVTWRKR,0.8562231759656652,0.013656568735362546,772,14.832396974191326,59,17.663521732655695,74,4.898979485566356,25,2.0,0.9120867859338857,0.003788848445440816,0.9285212793620525,0.021004203338184122,0.9201481998100676,0.00838776179098268,0.591961720113199,0.00371643204624365
INTRLAND,0.8610515021459227,0.0037934913153784325,780,1.4142135623730951,59,2.0,70,5.656854249492381,22,2.0,0.9176626421644006,0.006244148735375498,0.9291291713136782,0.0022284146823080384,0.9233505347865234,0.00206057090814196,0.5864944102182427,0.015012789422749669
LANDSQMI,0.8664163090128756,0.005310887841529853,787,7.0710678118654755,58,2.0,66,7.0710678118654755,20,2.0,0.9226260257913248,0.008289645734895056,0.9308197216673102,0.0017568165256360185,0.9266910699306032,0.0033109400110465453,0.5839246457798917,0.0005457639437114229
LOCLWRKR,0.875,0.011380473946135455,793,5.656854249492381,57,4.242640687119285,59,6.324555320336759,22,4.898979485566356,0.9302083505330537,0.00740716819011223,0.9329369314005971,0.005102920221490476,0.931569919123852,0.006258437058456791,0.6039442949431961,0.03510382494448568
MANUF,0.8851931330472103,0.004552189578454182,798,8.48528137423857,52,0.0,54,4.898979485566356,27,4.242640687119285,0.9360577915376678,0.0060713399581755435,0.9382724924928246,0.00016423700448408747,0.9371586357567666,0.0029609399139381358,0.6343635189736851,0.007474598487374081
MARINE,0.8556866952789699,0.003793491315378511,777,4.898979485566356,56,2.0,78,5.656854249492381,20,1.4142135623730951,0.9088279499371481,0.006536979397590062,0.9322625447320105,0.0019692376546240446,0.9203861420478632,0.0023925382630614602,0.5681774149696174,0.000836981958915082
