Sampling,Model,Metric,Average,Standard Deviation,Trial 0,Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7,Trial 8,Trial 9
OVER,KNN,accuracy,0.7047210300429184,0.013313178968963488,0.7188841201716738,0.6920600858369099,0.7092274678111588,0.7006437768240343,0.7060085836909872,0.6909871244635193,0.6845493562231759,0.7060085836909872,0.7285407725321889,0.7103004291845494
OVER,KNN,TP,625,12.529964086141668,635,613,624,624,633,615,603,631,646,632
OVER,KNN,FN,218,14.0,209,237,223,231,208,226,235,213,196,205
OVER,KNN,FP,56,6.782329983125268,53,50,48,48,66,62,59,61,57,65
OVER,KNN,TN,31,3.7416573867739413,35,32,37,29,25,29,35,27,33,30
OVER,KNN,precision,0.9167080036961768,0.009049421861059928,0.9229651162790697,0.9245852187028658,0.9285714285714286,0.9285714285714286,0.9055793991416309,0.9084194977843427,0.9108761329305136,0.911849710982659,0.918918918918919,0.9067431850789096
OVER,KNN,recall,0.7413535507594625,0.01593063792892087,0.7523696682464455,0.7211764705882353,0.7367178276269185,0.7298245614035088,0.7526753864447087,0.7312722948870393,0.7195704057279236,0.7476303317535545,0.7672209026128266,0.7550776583034647
OVER,KNN,f1,0.8196379029008064,0.009547820720744145,0.8289817232375979,0.8103106411103768,0.8215931533903885,0.8172888015717092,0.8220779220779222,0.8102766798418972,0.804,0.8216145833333334,0.8362459546925567,0.8239895697522817
OVER,KNN,auc,0.5484222759069463,0.02338127501028847,0.575048470486859,0.5557101865136298,0.5860059726369887,0.5532239690134427,0.5137003305849916,0.524976806784179,0.5459554156299193,0.5272242567858682,0.5669437846397467,0.5354335659938376
OVER,ID3 (Underfitting),accuracy,0.7358369098712446,0.04090033429948673,0.778969957081545,0.6802575107296137,0.7832618025751072,0.7339055793991416,0.7371244635193133,0.7135193133047211,0.6909871244635193,0.8004291845493562,0.7017167381974249,0.7381974248927039
OVER,ID3 (Underfitting),TP,620,41.677331968349414,664,571,672,625,616,599,574,685,578,624
OVER,ID3 (Underfitting),FN,223,41.1703777004778,180,279,175,230,225,242,264,159,264,213
OVER,ID3 (Underfitting),FP,23,5.0990195135927845,26,19,27,18,20,25,24,27,14,31
OVER,ID3 (Underfitting),TN,65,5.744562646538029,62,63,58,59,71,66,70,61,76,64
OVER,ID3 (Underfitting),precision,0.9642952398200071,0.0068822086092358075,0.9623188405797102,0.9677966101694915,0.9613733905579399,0.9720062208398134,0.9685534591194969,0.9599358974358975,0.959866220735786,0.9620786516853933,0.9763513513513513,0.9526717557251908
OVER,ID3 (Underfitting),recall,0.7356141921391304,0.04883065326030493,0.7867298578199052,0.6717647058823529,0.7933884297520661,0.7309941520467836,0.7324613555291319,0.7122473246135553,0.684964200477327,0.8116113744075829,0.6864608076009501,0.7455197132616488
OVER,ID3 (Underfitting),f1,0.8336926368456782,0.030422495598198932,0.8657105606258149,0.7930555555555555,0.8693402328589911,0.8344459279038718,0.8341232227488151,0.8177474402730375,0.7994428969359332,0.8804627249357326,0.8061366806136682,0.836461126005362
OVER,ID3 (Underfitting),auc,0.7369526297992369,0.019703557929620103,0.74563765618268,0.7200286944045912,0.7378706854642684,0.748613959140275,0.756340567874456,0.7187610249441403,0.7148225257705784,0.7523965962947007,0.7654526260226975,0.7096019618939822
OVER,ID3,accuracy,0.8402360515021459,0.009482210770508877,0.8454935622317596,0.8412017167381974,0.8326180257510729,0.8304721030042919,0.842274678111588,0.8487124463519313,0.8326180257510729,0.8562231759656652,0.8261802575107297,0.8465665236051502
OVER,ID3,TP,758,8.602325267042627,760,757,764,748,760,776,750,765,750,753
OVER,ID3,FN,85,10.816653826391969,84,93,83,107,81,65,88,79,92,84
OVER,ID3,FP,62,7.681145747868608,71,55,64,44,66,65,63,67,60,67
OVER,ID3,TN,25,5.0,17,27,21,33,25,26,31,21,30,28
OVER,ID3,precision,0.9242983436818135,0.008512075466776918,0.914560770156438,0.9322660098522167,0.9227053140096618,0.9444444444444444,0.9200968523002422,0.9227110582639715,0.922509225092251,0.9194711538461539,0.9259259259259259,0.9182926829268293
OVER,ID3,recall,0.8986084290387588,0.012414952373427678,0.9004739336492891,0.8905882352941177,0.9020070838252656,0.8748538011695907,0.9036860879904876,0.9227110582639715,0.8949880668257757,0.9063981042654028,0.8907363420427553,0.899641577060932
OVER,ID3,f1,0.9111788879333986,0.004496200860198209,0.9074626865671641,0.9109506618531891,0.9122388059701492,0.9083181542197936,0.9118176364727054,0.9227110582639715,0.9085402786190189,0.9128878281622912,0.9079903147699757,0.9088714544357273
OVER,ID3,auc,0.5969438407669571,0.02519337469768396,0.5737020680741061,0.5989096126255381,0.5586360163900271,0.6535277587909166,0.5794057310109629,0.5976728384576184,0.5999593764281724,0.5948944420508402,0.6060965954077593,0.6066339684336289
OVER,ID3 (Overfitting),accuracy,0.8414163090128756,0.007343669681093315,0.8336909871244635,0.8412017167381974,0.842274678111588,0.8379828326180258,0.842274678111588,0.8605150214592274,0.8379828326180258,0.8433476394849786,0.8369098712446352,0.8379828326180258
OVER,ID3 (Overfitting),TP,758,8.602325267042627,760,757,764,748,760,776,750,765,750,753
OVER,ID3 (Overfitting),FN,85,10.816653826391969,84,93,83,107,81,65,88,79,92,84
OVER,ID3 (Overfitting),FP,62,7.681145747868608,71,55,64,44,66,65,63,67,60,67
OVER,ID3 (Overfitting),TN,25,5.0,17,27,21,33,25,26,31,21,30,28
OVER,ID3 (Overfitting),precision,0.9242983436818135,0.008512075466776918,0.914560770156438,0.9322660098522167,0.9227053140096618,0.9444444444444444,0.9200968523002422,0.9227110582639715,0.922509225092251,0.9194711538461539,0.9259259259259259,0.9182926829268293
OVER,ID3 (Overfitting),recall,0.8986084290387588,0.012414952373427678,0.9004739336492891,0.8905882352941177,0.9020070838252656,0.8748538011695907,0.9036860879904876,0.9227110582639715,0.8949880668257757,0.9063981042654028,0.8907363420427553,0.899641577060932
OVER,ID3 (Overfitting),f1,0.9111788879333986,0.004496200860198209,0.9074626865671641,0.9109506618531891,0.9122388059701492,0.9083181542197936,0.9118176364727054,0.9227110582639715,0.9085402786190189,0.9128878281622912,0.9079903147699757,0.9088714544357273
OVER,ID3 (Overfitting),auc,0.5970548993455124,0.028592213598467676,0.5468278759155536,0.6099282639885223,0.5745329536773387,0.6517126148705097,0.5892056813578811,0.6042126719891285,0.6123876504341644,0.5725172339508833,0.6120348376880443,0.5971892095830975
OVER,CART,accuracy,0.8361587982832618,0.011786849540223538,0.8390557939914163,0.8444206008583691,0.8487124463519313,0.8412017167381974,0.8390557939914163,0.8347639484978541,0.8175965665236051,0.8497854077253219,0.8154506437768241,0.8315450643776824
OVER,CART,TP,751,12.0,758,764,761,752,753,752,732,767,737,738
OVER,CART,FN,92,9.899494936611665,86,86,86,103,88,89,106,77,105,99
OVER,CART,FP,60,6.4031242374328485,64,59,55,45,62,65,64,63,67,58
OVER,CART,TN,27,4.47213595499958,24,23,30,32,29,26,30,25,23,37
OVER,CART,precision,0.925845222144569,0.007741189587579254,0.9221411192214112,0.928311057108141,0.9325980392156863,0.9435382685069009,0.9239263803680982,0.9204406364749081,0.9195979899497487,0.9240963855421687,0.9166666666666666,0.9271356783919598
OVER,CART,recall,0.8903754864054673,0.011918573264103918,0.8981042654028436,0.8988235294117647,0.898465171192444,0.87953216374269,0.8953626634958383,0.8941736028537456,0.8735083532219571,0.9087677725118484,0.8752969121140143,0.8817204301075269
OVER,CART,f1,0.9077146720399418,0.007305683802275746,0.9099639855942377,0.9133293484757921,0.9152134696331929,0.910411622276029,0.9094202898550724,0.9071170084439083,0.8959608323133416,0.9163679808841099,0.8955042527339003,0.9038579301898346
OVER,CART,auc,0.6039080111568903,0.025229128712690976,0.5854157690650581,0.5896556671449067,0.6257031738315162,0.6475582896635529,0.6070219910885785,0.5899439442840155,0.5963286446960849,0.5964293408013788,0.5654262338347849,0.6355970571590266
OVER,Naive Bayes,accuracy,0.1958154506437768,0.2478518838400325,0.09763948497854077,0.1223175965665236,0.12339055793991416,0.10085836909871244,0.9002145922746781,0.1298283261802575,0.10300429184549356,0.12339055793991416,0.11909871244635194,0.13841201716738197
OVER,Naive Bayes,TP,105,257.881755849459,4,34,32,19,839,33,2,30,29,37
OVER,Naive Bayes,FN,738,258.942078465436,840,816,815,836,2,808,836,814,813,800
OVER,Naive Bayes,FP,11,28.0,1,2,2,2,91,3,0,3,8,3
OVER,Naive Bayes,TN,76,27.477263328068172,87,80,83,75,0,88,94,85,82,92
OVER,Naive Bayes,precision,0.9027074716970352,0.06507810538861605,0.8,0.9444444444444444,0.9411764705882353,0.9047619047619048,0.9021505376344086,0.9166666666666666,1.0,0.9090909090909091,0.7837837837837838,0.925
OVER,Naive Bayes,recall,0.12581817996223568,0.30667393537799187,0.004739336492890996,0.04,0.03778040141676505,0.022222222222222223,0.9976218787158145,0.039239001189060645,0.002386634844868735,0.035545023696682464,0.0344418052256532,0.04420549581839905
OVER,Naive Bayes,f1,0.14484794473418044,0.2834120766600243,0.009422850412249707,0.07674943566591422,0.07264472190692395,0.04337899543378995,0.9474872953133823,0.07525655644241734,0.004761904761904762,0.06841505131128849,0.06598407281001137,0.08437856328392246
OVER,Naive Bayes,auc,0.49926993516511486,0.010083141804948943,0.49668785006462735,0.5078048780487805,0.5071254948260295,0.49812409812409814,0.49881093935790727,0.5031359841110138,0.5011933174224343,0.5007270573028867,0.47277645816838215,0.5063132742249891
OVER,RBF Kernel SVC,accuracy,0.24527896995708154,0.024494454584796554,0.24141630901287553,0.23068669527896996,0.24248927038626608,0.25643776824034337,0.23283261802575106,0.2145922746781116,0.27896995708154504,0.23283261802575106,0.2939914163090129,0.22854077253218885
OVER,RBF Kernel SVC,TP,155,28.372521918222215,150,144,152,182,137,118,181,144,214,135
OVER,RBF Kernel SVC,FN,688,27.910571473905726,694,706,695,673,704,723,657,700,628,702
OVER,RBF Kernel SVC,FP,15,6.082762530298219,13,11,11,20,11,9,15,15,30,17
OVER,RBF Kernel SVC,TN,72,8.306623862918075,75,71,74,57,80,82,79,73,60,78
OVER,RBF Kernel SVC,precision,0.9131929467392432,0.01923043548374711,0.9202453987730062,0.9290322580645162,0.9325153374233128,0.900990099009901,0.9256756756756757,0.9291338582677166,0.923469387755102,0.9056603773584906,0.8770491803278688,0.8881578947368421
OVER,RBF Kernel SVC,recall,0.18447234101101434,0.033496401585430706,0.17772511848341233,0.16941176470588235,0.179456906729634,0.2128654970760234,0.1629013079667063,0.1403091557669441,0.2159904534606205,0.17061611374407584,0.25415676959619954,0.16129032258064516
OVER,RBF Kernel SVC,f1,0.30550370409837174,0.044468130427622786,0.29791459781529295,0.2865671641791045,0.3009900990099009,0.3443708609271523,0.27704752275025274,0.24380165289256198,0.35009671179883944,0.28713858424725824,0.3941068139963168,0.2730030333670374
OVER,RBF Kernel SVC,auc,0.5055803918199528,0.022878683632477526,0.5149989228780698,0.5176327116212338,0.5250225710118759,0.47656261866788185,0.5210110935437927,0.5207040284329226,0.5282079926877571,0.5000807841447652,0.46041171813143306,0.49117147707979625
OVER,Random Forest,accuracy,0.8877682403433477,0.01029396952114363,0.8851931330472103,0.9012875536480687,0.8916309012875536,0.8948497854077253,0.8927038626609443,0.8755364806866953,0.8776824034334764,0.9023605150214592,0.8819742489270386,0.8744635193133047
OVER,Random Forest,TP,811,10.04987562112089,813,823,818,811,821,803,797,823,807,797
OVER,Random Forest,FN,32,8.366600265340756,31,27,29,44,20,38,41,21,35,40
OVER,Random Forest,FP,72,7.615773105863909,76,65,72,54,80,78,73,70,75,77
OVER,Random Forest,TN,16,3.872983346207417,12,17,13,23,11,13,21,18,15,18
OVER,Random Forest,precision,0.9185229673910343,0.008320895783520646,0.9145106861642295,0.9268018018018018,0.9191011235955057,0.9375722543352601,0.9112097669256382,0.9114642451759364,0.9160919540229885,0.921612541993281,0.9149659863945578,0.9118993135011442
OVER,Random Forest,recall,0.9613674489889763,0.009920196849861736,0.9632701421800948,0.9682352941176471,0.9657615112160567,0.9485380116959065,0.976218787158145,0.9548156956004756,0.951073985680191,0.9751184834123223,0.9584323040380047,0.9522102747909199
OVER,Random Forest,f1,0.9394111088904058,0.005879902113314027,0.9382573571840739,0.947065592635213,0.9418537708693149,0.9430232558139535,0.9425947187141216,0.9326364692218351,0.9332552693208431,0.9476108232584917,0.9361948955916473,0.9316189362945646
