Sampling,Model,Metric,Trial 0,Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7,Trial 8,Trial 9,Avg_Acc,Std_dev_Acc,Avg_Precision,Std_dev Precision,Avg_recall,std_dev recall,average_f1,std_dev f1
,,,,,,,,,,,,,,,,,,,,
STANDARD,KNN,accuracy,0.912017167,0.894849785,0.891630901,0.88304721,0.889484979,0.891630901,0.908798283,0.903433476,0.893776824,0.894849785,0.896351931,0.008546055,0.902707295,0.009816031,0.991914977,0.003605999,0.945176872,0.004973042
,,,,,,,,,,,,,,,,,,,,
STANDARD,KNN,TP,846,832,830,820,828,830,844,838,830,832,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
STANDARD,KNN,FN,9,5,9,11,4,5,6,11,6,2,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
STANDARD,KNN,FP,73,93,92,98,99,96,79,79,93,96,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
STANDARD,KNN,TN,4,2,1,3,1,1,3,4,3,2,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
STANDARD,KNN,precision,0.920565832,0.899459459,0.90021692,0.893246187,0.893203883,0.896328294,0.914409534,0.913849509,0.899241603,0.896551724,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
STANDARD,KNN,recall,0.989473684,0.994026284,0.989272944,0.986762936,0.995192308,0.994011976,0.992941176,0.987043581,0.992822967,0.997601918,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
STANDARD,KNN,f1,0.953776776,0.944381385,0.942646224,0.937678674,0.941444002,0.942646224,0.952058658,0.949037373,0.943718022,0.944381385,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
STANDARD,ID3 (Underfitting),accuracy,0.917381974,0.89806867,0.900214592,0.891630901,0.892703863,0.895922747,0.912017167,0.910944206,0.896995708,0.894849785,0.901072961,0.008567581,0.901072961,0.009031024,1,0,0.947941228,0.004981055
,,,,,,,,,,,,,,,,,,,,
STANDARD,ID3 (Underfitting),TP,855,837,839,831,832,835,850,849,836,834,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
STANDARD,ID3 (Underfitting),FN,0,0,0,0,0,0,0,0,0,0,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
STANDARD,ID3 (Underfitting),FP,77,95,93,101,100,97,82,83,96,98,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
STANDARD,ID3 (Underfitting),TN,0,0,0,0,0,0,0,0,0,0,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
STANDARD,ID3 (Underfitting),precision,0.917381974,0.89806867,0.900214592,0.891630901,0.892703863,0.895922747,0.912017167,0.910944206,0.896995708,0.894849785,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
STANDARD,ID3 (Underfitting),recall,1,1,1,1,1,1,1,1,1,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
STANDARD,ID3 (Underfitting),f1,0.956911024,0.946297343,0.947487295,0.942711288,0.943310658,0.945104697,0.953984287,0.953396968,0.945701357,0.944507361,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
STANDARD,ID3,accuracy,0.871244635,0.857296137,0.862660944,0.837982833,0.845493562,0.837982833,0.873390558,0.873390558,0.858369099,0.858369099,0.857618026,0.012759221,0.919026238,0.010195917,0.917462174,0.009023531,0.918199118,0.006849639
,,,,,,,,,,,,,,,,,,,,
STANDARD,ID3,TP,786,776,783,761,764,752,780,780,766,757,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
STANDARD,ID3,FN,69,61,56,70,68,83,70,69,70,77,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
STANDARD,ID3,FP,51,70,78,73,77,71,59,59,71,70,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
STANDARD,ID3,TN,26,25,15,28,23,26,23,24,25,28,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
