Sampling,Model,Metric,Average,Standard Deviation,Trial 0,Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7,Trial 8,Trial 9
STANDARD,KNN,accuracy,0.899892703862661,0.007503061689719781,0.8927038626609443,0.9012875536480687,0.9055793991416309,0.9034334763948498,0.9012875536480687,0.9141630901287554,0.8959227467811158,0.8991416309012875,0.8991416309012875,0.8862660944206009
STANDARD,KNN,TP,836,6.928203230275509,830,837,842,839,838,849,832,836,836,823
STANDARD,KNN,FN,7,2.449489742783178,5,8,4,8,10,9,12,6,6,11
STANDARD,KNN,FP,85,6.928203230275509,95,84,84,82,82,71,85,88,88,95
STANDARD,KNN,TN,2,0.0,2,3,2,3,2,3,3,2,2,3
STANDARD,KNN,precision,0.9073385740465876,0.0074735400399354255,0.8972972972972973,0.9087947882736156,0.9092872570194385,0.9109663409337676,0.9108695652173913,0.9228260869565217,0.9073064340239912,0.9047619047619048,0.9047619047619048,0.8965141612200436
STANDARD,KNN,recall,0.9906430084972401,0.003131970606072224,0.9940119760479041,0.9905325443786982,0.9952718676122931,0.9905548996458088,0.9882075471698113,0.9895104895104895,0.985781990521327,0.9928741092636579,0.9928741092636579,0.986810551558753
STANDARD,KNN,f1,0.9471449847398862,0.004169538008206471,0.9431818181818182,0.9479048697621745,0.9503386004514673,0.9490950226244343,0.9479638009049773,0.9550056242969628,0.9449176604202157,0.9467723669309173,0.9467723669309173,0.9394977168949772
STANDARD,ID3 (Underfitting),accuracy,0.9056866952789699,0.007285083775436883,0.8959227467811158,0.9066523605150214,0.907725321888412,0.9087982832618026,0.9098712446351931,0.9206008583690987,0.9055793991416309,0.9034334763948498,0.9034334763948498,0.8948497854077253
STANDARD,ID3 (Underfitting),TP,844,6.782329983125268,835,845,846,847,848,858,844,842,842,834
STANDARD,ID3 (Underfitting),FN,0,0.0,0,0,0,0,0,0,0,0,0,0
STANDARD,ID3 (Underfitting),FP,87,6.782329983125268,97,87,86,85,84,74,88,90,90,98
STANDARD,ID3 (Underfitting),TN,0,0.0,0,0,0,0,0,0,0,0,0,0
STANDARD,ID3 (Underfitting),precision,0.9056866952789699,0.007285083775436883,0.8959227467811158,0.9066523605150214,0.907725321888412,0.9087982832618026,0.9098712446351931,0.9206008583690987,0.9055793991416309,0.9034334763948498,0.9034334763948498,0.8948497854077253
STANDARD,ID3 (Underfitting),recall,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
