Sampling,Model,Metric,Average,Standard Deviation,Trial 0,Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7,Trial 8,Trial 9
OVER,KNN,accuracy,0.704077253,0.010546846,0.7027897,0.715665236,0.703862661,0.701716738,0.711373391,0.688841202,0.712446352,0.709227468,0.711373391,0.683476395
OVER,KNN,precision,0.916054239,0.008766563,0.919117647,0.904694168,0.920704846,0.900729927,0.924444444,0.912518854,0.920289855,0.91316932,0.929721816,0.915151515
OVER,KNN,recall,0.740552475,0.013205475,0.737898465,0.762589928,0.738515901,0.746070133,0.741092637,0.722819594,0.748820755,0.749406176,0.74182243,0.716488731
OVER,KNN,f1,0.81891804,0.008050153,0.818598559,0.827586207,0.819607843,0.816137566,0.822676335,0.806666667,0.825747724,0.82322244,0.825211176,0.803725882
OVER,KNN,auc,0.550857851,0.013882337,0.545419821,0.539458229,0.543956746,0.549225543,0.587212985,0.556146639,0.547029425,0.541369755,0.555121741,0.543637624
,,,,,,,,,,,,,,
OVER,ID3 (Underfitting),accuracy,0.731545064,0.031030666,0.714592275,0.723175966,0.699570815,0.72639485,0.722103004,0.762875536,0.755364807,0.678111588,0.778969957,0.754291845
OVER,ID3 (Underfitting),precision,0.966649161,0.007685191,0.978583196,0.969055375,0.974958264,0.958333333,0.967897271,0.958333333,0.958579882,0.975438596,0.962962963,0.962349398
OVER,ID3 (Underfitting),recall,0.728346839,0.040838088,0.701298701,0.713429257,0.68786808,0.723095526,0.716152019,0.769414576,0.764150943,0.660332542,0.789719626,0.758007117
OVER,ID3 (Underfitting),f1,0.830027294,0.024463054,0.817056396,0.821823204,0.806629834,0.824259132,0.823208191,0.853545394,0.850393701,0.787535411,0.867779204,0.848042468
OVER,ID3 (Underfitting),auc,0.743972781,0.01722035,0.774178762,0.759775853,0.753572594,0.737738239,0.746964898,0.737338867,0.715408805,0.752388493,0.723807182,0.738554121
,,,,,,,,,,,,,,
OVER,ID3,accuracy,0.836051502,0.014313303,0.844420601,0.843347639,0.834763948,0.824034335,0.817596567,0.833690987,0.837982833,0.834763948,0.868025751,0.821888412
OVER,ID3,precision,0.924609144,0.006631688,0.931761787,0.921116505,0.923076923,0.912561576,0.921119593,0.921472393,0.92392638,0.930348259,0.935990338,0.924717691
OVER,ID3,recall,0.889627452,0.014533855,0.886658796,0.910071942,0.890459364,0.896009674,0.859857482,0.897252091,0.887971698,0.888361045,0.905373832,0.8742586
OVER,ID3,f1,0.906720275,0.008498421,0.908650938,0.915560917,0.90647482,0.904209884,0.889434889,0.909200969,0.905592303,0.908869988,0.920427553,0.898780488
OVER,ID3,auc,0.596662978,0.018732239,0.618049865,0.606298635,0.572324634,0.597362815,0.601346002,0.585468151,0.562387691,0.600923727,0.622417609,0.600050648
,,,,,,,,,,,,,,
