year,state,state_po,district,party,candidatevotes,totalvotes,winratio,ID,prev_party,prev_candidatevotes,prev_totalvotes,prev_winratio,flip
1976,Alabama,AL,1,4,98257,157170,0.625163835,1976-AL-1,,,,,
1976,Alabama,AL,2,4,90069,156362,0.576028703,1976-AL-2,,,,,
1976,Alabama,AL,3,0,106935,108048,0.989699023,1976-AL-3,,,,,
1976,Alabama,AL,4,0,141490,176022,0.803819977,1976-AL-4,,,,,
1976,Alabama,AL,5,0,113553,113560,0.999938359,1976-AL-5,,,,,
1976,Alabama,AL,6,4,92113,162518,0.566786448,1976-AL-6,,,,,
1976,Alabama,AL,7,0,110496,110501,0.999954752,1976-AL-7,,,,,
1976,Arizona,AZ,1,4,96397,168119,0.573385519,1976-AZ-1,,,,,
1976,Arizona,AZ,2,0,106054,182128,0.582304753,1976-AZ-2,,,,,
1976,Arizona,AZ,3,0,88854,187165,0.474736195,1976-AZ-3,,,,,
1976,Arizona,AZ,4,4,93154,191590,0.486215356,1976-AZ-4,,,,,
1976,Arkansas,AR,1,0,116217,168782,0.688562761,1976-AR-1,,,,,
1976,Arkansas,AR,2,0,144780,167607,0.863806404,1976-AR-2,,,,,
1976,Arkansas,AR,3,4,1,1,1,1976-AR-3,,,,,
1976,Arkansas,AR,4,0,1,1,1,1976-AR-4,,,,,
1976,California,CA,1,0,160477,217016,0.739470822,1976-CA-1,,,,,
1976,California,CA,2,4,121290,216563,0.560067971,1976-CA-2,,,,,
1976,California,CA,3,0,139779,191854,0.728569641,1976-CA-3,,,,,
1976,California,CA,4,0,75844,151037,0.502155101,1976-CA-4,,,,,
1976,California,CA,5,0,103746,167754,0.618441289,1976-CA-5,,,,,
1976,California,CA,6,0,86493,130916,0.660675548,1976-CA-6,,,,,
1976,California,CA,7,0,147064,196816,0.747215674,1976-CA-7,,,,,
1976,California,CA,8,0,122342,196954,0.621170426,1976-CA-8,,,,,
1976,California,CA,9,0,116398,164391,0.708055794,1976-CA-9,,,,,
1976,California,CA,10,0,111992,155443,0.720469883,1976-CA-10,,,,,
1976,California,CA,11,0,107618,176194,0.610792649,1976-CA-11,,,,,
1976,California,CA,12,4,130332,196857,0.662064341,1976-CA-12,,,,,
1976,California,CA,13,0,135291,202611,0.667737685,1976-CA-13,,,,,
1976,California,CA,14,0,123285,169959,0.725380827,1976-CA-14,,,,,
1976,California,CA,15,0,92735,128435,0.722038385,1976-CA-15,,,,,
1976,California,CA,16,0,104545,195705,0.534196878,1976-CA-16,,,,,
1976,California,CA,17,0,103898,158168,0.65688382,1976-CA-17,,,,,
1976,California,CA,18,4,101658,158341,0.642019439,1976-CA-18,,,,,
1976,California,CA,19,4,124201,192923,0.643785344,1976-CA-19,,,,,
1976,California,CA,20,4,146158,217351,0.672451473,1976-CA-20,,,,,
1976,California,CA,21,0,101837,153109,0.665127458,1976-CA-21,,,,,
1976,California,CA,22,4,114769,183312,0.626085581,1976-CA-22,,,,,
1976,California,CA,23,0,130619,217053,0.601783896,1976-CA-23,,,,,
1976,California,CA,24,0,108296,159774,0.677807403,1976-CA-24,,,,,
1976,California,CA,25,0,57966,80625,0.71895814,1976-CA-25,,,,,
1976,California,CA,26,4,112619,171712,0.655859812,1976-CA-26,,,,,
1976,California,CA,27,4,114623,209611,0.54683676,1976-CA-27,,,,,
1976,California,CA,28,0,114612,142915,0.801959207,1976-CA-28,,,,,
1976,California,CA,29,0,82515,96602,0.854174862,1976-CA-29,,,,,
1976,California,CA,30,0,82767,111270,0.74383931,1976-CA-30,,,,,
1976,California,CA,31,0,83155,83155,1,1976-CA-31,,,,,
1976,California,CA,32,0,92034,127428,0.722243149,1976-CA-32,,,,,
1976,California,CA,33,4,95398,173205,0.550780867,1976-CA-33,,,,,
1976,California,CA,34,0,100988,199135,0.507133352,1976-CA-34,,,,,
1976,California,CA,35,0,87472,164237,0.532596187,1976-CA-35,,,,,
1976,California,CA,36,0,90830,147556,0.615562905,1976-CA-36,,,,,
1976,California,CA,37,4,133634,188007,0.710792683,1976-CA-37,,,,,
1976,California,CA,38,0,103317,162409,0.636153169,1976-CA-38,,,,,
1976,California,CA,39,4,122657,209402,0.585748942,1976-CA-39,,,,,
1976,California,CA,40,4,148512,250644,0.592521664,1976-CA-40,,,,,
1976,California,CA,41,4,128784,223374,0.576539794,1976-CA-41,,,,,
1976,California,CA,42,0,103062,135627,0.759892942,1976-CA-42,,,,,
1976,California,CA,43,4,173576,267051,0.649973226,1976-CA-43,,,,,
1976,Colorado,CO,1,0,103037,193610,0.53218842,1976-CO-1,,,,,
1976,Colorado,CO,2,0,121340,240278,0.504998377,1976-CO-2,,,,,
1976,Colorado,CO,3,0,89302,175232,0.50962153,1976-CO-3,,,,,
1976,Colorado,CO,4,4,119458,221018,0.540489915,1976-CO-4,,,,,
1976,Colorado,CO,5,4,126784,190851,0.664308806,1976-CO-5,,,,,
